x,y,h_z,t
-2095000,-200000,175000,0.0
-2090000,-200000,175000,0.0
-2090000,-195000,175000,0.0
-2085000,-200000,175000,0.0
-2085000,-195000,175000,0.0
-2085000,-190000,175000,0.0
-2080000,-200000,175000,0.0
-2080000,-195000,175000,0.0
-2080000,-190000,175000,0.0
-2080000,-185000,175000,0.0
-2075000,-200000,175000,0.0
-2075000,-195000,175000,0.0
-2075000,-190000,175000,0.0
-2075000,-185000,175000,0.0
-2070000,-200000,175000,0.0
-2070000,-195000,175000,0.0
-2070000,-190000,175000,0.0
-2070000,-185000,175000,0.0
-2070000,-180000,175000,0.0
-2065000,-200000,175000,0.0
-2065000,-195000,175000,0.0
-2065000,-190000,175000,0.0
-2065000,-185000,175000,0.0
-2065000,-180000,175000,0.0
-2065000,-175000,175000,0.0
-2060000,-200000,175000,0.0
-2060000,-195000,175000,0.0
-2060000,-190000,175000,0.0
-2060000,-185000,175000,0.0
-2060000,-180000,175000,0.0
-2060000,-175000,175000,0.0
-2060000,-170000,175000,0.0
-2055000,-200000,175000,0.0
-2055000,-195000,175000,0.0
-2055000,-190000,175000,0.0
-2055000,-185000,175000,0.0
-2055000,-180000,175000,0.0
-2055000,-175000,175000,0.0
-2055000,-170000,175000,0.0
-2050000,-200000,175000,0.0
-2050000,-195000,175000,0.0
-2050000,-190000,175000,0.0
-2050000,-185000,175000,0.0
-2050000,-180000,175000,0.0
-2050000,-175000,175000,0.0
-2050000,-170000,175000,0.0
-2050000,-165000,175000,0.0
-2045000,-200000,175000,0.0
-2045000,-195000,175000,0.0
-2045000,-190000,175000,0.0
-2045000,-185000,175000,0.0
-2045000,-180000,175000,0.0
-2045000,-175000,175000,0.0
-2045000,-170000,175000,0.0
-2045000,-165000,175000,0.0
-2045000,-160000,175000,0.0
-2040000,-200000,175000,0.0
-2040000,-195000,175000,0.0
-2040000,-190000,175000,0.0
-2040000,-185000,175000,0.0
-2040000,-180000,175000,0.0
-2040000,-175000,175000,0.0
-2040000,-170000,175000,0.0
-2040000,-165000,175000,0.0
-2040000,-160000,175000,0.0
-2040000,-155000,175000,0.0
-2035000,-200000,175000,0.0
-2035000,-195000,175000,0.0
-2035000,-190000,175000,0.0
-2035000,-185000,175000,0.0
-2035000,-180000,175000,0.0
-2035000,-175000,175000,0.0
-2035000,-170000,175000,0.0
-2035000,-165000,175000,0.0
-2035000,-160000,175000,0.0
-2035000,-155000,175000,0.0
-2035000,-150000,175000,0.0
-2030000,-200000,175000,0.0
-2030000,-195000,175000,0.0
-2030000,-190000,175000,0.0
-2030000,-185000,175000,0.0
-2030000,-180000,175000,0.0
-2030000,-175000,175000,0.0
-2030000,-170000,175000,0.0
-2030000,-165000,175000,142.12568913272727
-2030000,-160000,175000,0.0
-2030000,-155000,175000,0.0
-2030000,-150000,175000,0.0
-2025000,-200000,175000,0.0
-2025000,-195000,175000,0.0
-2025000,-190000,175000,0.0
-2025000,-185000,175000,0.0
-2025000,-180000,175000,0.0
-2025000,-175000,175000,0.0
-2025000,-170000,175000,0.0
-2025000,-165000,175000,145.21767119106053
-2025000,-160000,175000,0.0
-2025000,-155000,175000,0.0
-2025000,-150000,175000,0.0
-2025000,-145000,175000,0.0
-2020000,-200000,175000,0.0
-2020000,-195000,175000,0.0
-2020000,-190000,175000,0.0
-2020000,-185000,175000,0.0
-2020000,-180000,175000,0.0
-2020000,-175000,175000,0.0
-2020000,-170000,175000,0.0
-2020000,-165000,175000,0.0
-2020000,-160000,175000,0.0
-2020000,-155000,175000,0.0
-2020000,-150000,175000,0.0
-2020000,-145000,175000,0.0
-2020000,-140000,175000,0.0
-2015000,-200000,175000,0.0
-2015000,-195000,175000,0.0
-2015000,-190000,175000,0.0
-2015000,-185000,175000,0.0
-2015000,-180000,175000,0.0
-2015000,-175000,175000,0.0
-2015000,-170000,175000,0.0
-2015000,-165000,175000,0.0
-2015000,-160000,175000,0.0
-2015000,-155000,175000,0.0
-2015000,-150000,175000,0.0
-2015000,-145000,175000,0.0
-2015000,-140000,175000,0.0
-2015000,-135000,175000,0.0
-2010000,-200000,175000,0.0
-2010000,-195000,175000,0.0
-2010000,-190000,175000,123.27975056969697
-2010000,-185000,175000,131.30875847878792
-2010000,-180000,175000,172.6166603409091
-2010000,-175000,175000,0.0
-2010000,-170000,175000,0.0
-2010000,-165000,175000,0.0
-2010000,-160000,175000,0.0
-2010000,-155000,175000,0.0
-2010000,-150000,175000,0.0
-2010000,-145000,175000,0.0
-2010000,-140000,175000,0.0
-2010000,-135000,175000,144.5825714401515
-2005000,-200000,175000,0.0
-2005000,-195000,175000,89.13309359393939
-2005000,-190000,175000,141.03557444090916
-2005000,-185000,175000,167.45484193181815
-2005000,-180000,175000,165.34013013181817
-2005000,-175000,175000,115.95757614393935
-2005000,-170000,175000,0.0
-2005000,-165000,175000,0.0
-2005000,-160000,175000,0.0
-2005000,-155000,175000,0.0
-2005000,-150000,175000,0.0
-2005000,-145000,175000,0.0
-2005000,-140000,175000,0.0
-2005000,-135000,175000,0.0
-2005000,-130000,175000,0.0
-2000000,-200000,175000,0.0
-2000000,-195000,175000,122.99525234242424
-2000000,-190000,175000,148.50110889393935
-2000000,-185000,175000,140.2249295212121
-2000000,-180000,175000,113.3761787330303
-2000000,-175000,175000,94.1721326560606
-2000000,-170000,175000,0.0
-2000000,-165000,175000,0.0
-2000000,-160000,175000,0.0
-2000000,-155000,175000,0.0
-2000000,-150000,175000,0.0
-2000000,-145000,175000,0.0
-2000000,-140000,175000,0.0
-2000000,-135000,175000,0.0
-2000000,-130000,175000,0.0
-2000000,-125000,175000,0.0
-1995000,-200000,175000,0.0
-1995000,-195000,175000,85.5989165530303
-1995000,-190000,175000,132.69109619545455
-1995000,-185000,175000,133.8596104
-1995000,-180000,175000,110.06049757060609
-1995000,-175000,175000,0.0
-1995000,-170000,175000,0.0
-1995000,-165000,175000,0.0
-1995000,-160000,175000,0.0
-1995000,-155000,175000,0.0
-1995000,-150000,175000,0.0
-1995000,-145000,175000,0.0
-1995000,-140000,175000,0.0
-1995000,-135000,175000,0.0
-1995000,-130000,175000,0.0
-1995000,-125000,175000,0.0
-1995000,-120000,175000,0.0
-1990000,-200000,175000,0.0
-1990000,-195000,175000,0.0
-1990000,-190000,175000,103.15916231333333
-1990000,-185000,175000,101.93205968181813
-1990000,-180000,175000,0.0
-1990000,-175000,175000,0.0
-1990000,-170000,175000,0.0
-1990000,-165000,175000,0.0
-1990000,-160000,175000,0.0
-1990000,-155000,175000,0.0
-1990000,-150000,175000,0.0
-1990000,-145000,175000,0.0
-1990000,-140000,175000,0.0
-1990000,-135000,175000,0.0
-1990000,-130000,175000,0.0
-1990000,-125000,175000,0.0
-1990000,-120000,175000,0.0
-1990000,-115000,175000,0.0
-1985000,-200000,175000,0.0
-1985000,-195000,175000,0.0
-1985000,-190000,175000,0.0
-1985000,-185000,175000,0.0
-1985000,-180000,175000,0.0
-1985000,-175000,175000,0.0
-1985000,-170000,175000,0.0
-1985000,-165000,175000,0.0
-1985000,-160000,175000,0.0
-1985000,-155000,175000,0.0
-1985000,-150000,175000,0.0
-1985000,-145000,175000,0.0
-1985000,-140000,175000,0.0
-1985000,-135000,175000,0.0
-1985000,-130000,175000,0.0
-1985000,-125000,175000,0.0
-1985000,-120000,175000,0.0
-1985000,-115000,175000,0.0
-1980000,-200000,175000,0.0
-1980000,-195000,175000,0.0
-1980000,-190000,175000,0.0
-1980000,-185000,175000,0.0
-1980000,-180000,175000,0.0
-1980000,-175000,175000,0.0
-1980000,-170000,175000,0.0
-1980000,-165000,175000,0.0
-1980000,-160000,175000,0.0
-1980000,-155000,175000,0.0
-1980000,-150000,175000,0.0
-1980000,-145000,175000,0.0
-1980000,-140000,175000,0.0
-1980000,-135000,175000,0.0
-1980000,-130000,175000,0.0
-1980000,-125000,175000,0.0
-1980000,-120000,175000,0.0
-1980000,-115000,175000,0.0
-1980000,-110000,175000,0.0
-1975000,-200000,175000,0.0
-1975000,-195000,175000,0.0
-1975000,-190000,175000,0.0
-1975000,-185000,175000,0.0
-1975000,-180000,175000,0.0
-1975000,-175000,175000,0.0
-1975000,-170000,175000,0.0
-1975000,-165000,175000,0.0
-1975000,-160000,175000,0.0
-1975000,-155000,175000,0.0
-1975000,-150000,175000,0.0
-1975000,-145000,175000,0.0
-1975000,-140000,175000,0.0
-1975000,-135000,175000,0.0
-1975000,-130000,175000,0.0
-1975000,-125000,175000,0.0
-1975000,-120000,175000,0.0
-1975000,-115000,175000,0.0
-1975000,-110000,175000,0.0
-1975000,-105000,175000,0.0
-1970000,-200000,175000,0.0
-1970000,-195000,175000,0.0
-1970000,-190000,175000,0.0
-1970000,-185000,175000,0.0
-1970000,-180000,175000,0.0
-1970000,-175000,175000,0.0
-1970000,-170000,175000,0.0
-1970000,-165000,175000,0.0
-1970000,-160000,175000,0.0
-1970000,-155000,175000,0.0
-1970000,-150000,175000,0.0
-1970000,-145000,175000,0.0
-1970000,-140000,175000,0.0
-1970000,-135000,175000,0.0
-1970000,-130000,175000,0.0
-1970000,-125000,175000,0.0
-1970000,-120000,175000,0.0
-1970000,-115000,175000,0.0
-1970000,-110000,175000,0.0
-1970000,-105000,175000,131.55342050696976
-1970000,-100000,175000,137.10345696939396
-1965000,-200000,175000,0.0
-1965000,-195000,175000,75.67530884212123
-1965000,-190000,175000,0.0
-1965000,-185000,175000,0.0
-1965000,-180000,175000,0.0
-1965000,-175000,175000,0.0
-1965000,-170000,175000,0.0
-1965000,-165000,175000,0.0
-1965000,-160000,175000,0.0
-1965000,-155000,175000,0.0
-1965000,-150000,175000,0.0
-1965000,-145000,175000,0.0
-1965000,-140000,175000,0.0
-1965000,-135000,175000,0.0
-1965000,-130000,175000,0.0
-1965000,-125000,175000,100.5434632589394
-1965000,-120000,175000,0.0
-1965000,-115000,175000,0.0
-1965000,-110000,175000,0.0
-1965000,-105000,175000,174.90200144242428
-1965000,-100000,175000,174.97397178227266
-1960000,-200000,175000,0.0
-1960000,-195000,175000,0.0
-1960000,-190000,175000,75.81936592666665
-1960000,-185000,175000,77.693942639394
-1960000,-180000,175000,0.0
-1960000,-175000,175000,0.0
-1960000,-170000,175000,0.0
-1960000,-165000,175000,0.0
-1960000,-160000,175000,0.0
-1960000,-155000,175000,0.0
-1960000,-150000,175000,0.0
-1960000,-145000,175000,0.0
-1960000,-140000,175000,0.0
-1960000,-135000,175000,0.0
-1960000,-130000,175000,0.0
-1960000,-125000,175000,0.0
-1960000,-120000,175000,106.51675339696966
-1960000,-115000,175000,0.0
-1960000,-110000,175000,0.0
-1960000,-105000,175000,0.0
-1960000,-100000,175000,0.0
-1960000,-95000,175000,0.0
-1955000,-200000,175000,0.0
-1955000,-195000,175000,0.0
-1955000,-190000,175000,73.68799020151518
-1955000,-185000,175000,75.80993836999997
-1955000,-180000,175000,73.00870027878788
-1955000,-175000,175000,0.0
-1955000,-170000,175000,0.0
-1955000,-165000,175000,0.0
-1955000,-160000,175000,0.0
-1955000,-155000,175000,77.65789259545456
-1955000,-150000,175000,0.0
