x,y,keido,ido,hyoukou
-2100000,90000,128.7819841,32.59823637,10.0
-2100000,95000,128.76631880000002,32.64412399,147.0
-2100000,100000,128.7506313,32.68999838,215.0
-2100000,105000,128.7349213,32.73585956,6.0
-2095000,95000,128.81348540000002,32.65935982,36.0
-2095000,100000,128.7978278,32.70524189,102.0
-2095000,105000,128.7821478,32.75111076,187.0
-2090000,95000,128.8606744,32.67456187,108.0
-2085000,105000,128.876668,32.78151173,70.0
-2085000,110000,128.8610257,32.82738279,33.0
-2075000,110000,128.9556956,32.85766377,145.0
-2070000,110000,129.0030641,32.87275345,55.0
-2070000,115000,128.98749009999997,32.91863439,109.0
-2060000,115000,129.08235449999998,32.94872735,209.0
-2060000,120000,129.06681890000002,32.99461053,58.0
-2060000,125000,129.05126090000002,33.04048064,53.0
-2055000,115000,129.1298201,32.96372293,224.0
-2055000,125000,129.0987875,33.05549154,19.0
-2055000,140000,129.0520709,33.19304672,30.0
-2050000,115000,129.177308,32.97868457,155.0
-2050000,135000,129.1152755,33.16220028,39.0
-2045000,-120000,129.9264584,30.82116375,249.2
-2045000,-30000,129.6632382,31.65663137,230.0
-2045000,145000,129.1318189,33.26885375,19.4
-2040000,-30000,129.7098983,31.67131081,286.0
-2035000,-25000,129.741819,31.73225869,263.0
-2030000,-165000,130.193284,30.44516444,13.7
-2025000,-165000,130.23921570000002,30.45955527,65.2
-2025000,-20000,129.8205811,31.80776663,6.0
-2020000,-20000,129.86738400000002,31.82232559,9.0
-2020000,-15000,129.85267140000002,31.86862269,39.0
-2020000,130000,129.4167615,33.20553374,71.2
-2015000,-20000,129.9142076,31.836850800000004,50.0
-2015000,130000,129.4644966,33.22027996,19.4
-2015000,135000,129.4491704,33.26619281,122.8
-2015000,145000,129.4184515,33.35797985,71.3
-2010000,-190000,130.44717659999998,30.26883121,494.0
-2010000,-185000,130.43320590000002,30.31559753,589.0
-2010000,-180000,130.41921570000002,30.36235028,895.0
-2010000,-135000,130.292425,30.78251622,41.8
-2010000,120000,129.54277820000001,33.14311253,111.8
-2010000,140000,129.4816412,33.32682007,287.5
-2010000,225000,129.2178164,34.10528793,46.0
-2010000,230000,129.2020929,34.15096535,37.0
-2010000,235000,129.1863463,34.19663008,108.0
-2005000,-195000,130.5069646,30.23626837,78.2
-2005000,-190000,130.493042,30.28305491,1219.0
-2005000,-185000,130.47910009999998,30.32982789,1402.0
-2005000,-180000,130.4651388,30.3765873,719.0
-2005000,-175000,130.45115819999998,30.42333317,218.3
-2005000,-70000,130.15301259999998,31.401888,262.1
-2005000,55000,129.7863782,32.55919989,20.7
-2005000,65000,129.7564798,32.65143109,6.2
-2005000,90000,129.6813577,32.88178179,15.9
-2005000,95000,129.6662685,32.92781304,59.0
-2005000,100000,129.65115749999998,32.97383135,24.5
-2005000,140000,129.5294825,33.34151321,150.8
-2005000,230000,129.2504988,34.16579774,455.0
-2005000,235000,129.23478390000002,34.21147035,78.0
-2005000,240000,129.219046,34.25713029,237.0
-2005000,245000,129.20328510000002,34.30277756,18.0
-2000000,-195000,130.5528204,30.25045203,364.1
-2000000,-190000,130.5389267,30.2972452,1360.0
-2000000,-185000,130.52501370000002,30.34402482,1188.0
-2000000,-180000,130.5110814,30.39079088,308.0
-2000000,-175000,130.4971297,30.43754342,387.9
-2000000,-85000,130.2426423,31.27678841,189.9
-2000000,-80000,130.22831509999997,31.32328606,310.9
-2000000,-75000,130.2139677,31.36977041,73.1
-2000000,60000,129.81881,32.61986152,179.3
-2000000,85000,129.7439487,32.85031403,223.3
-2000000,90000,129.72891189999999,32.89636565,310.1
-2000000,95000,129.7138534,32.94240435,280.2
-2000000,100000,129.6987733,32.98843011,283.9
-2000000,105000,129.6836714,33.03444297,279.1
-2000000,110000,129.6685477,33.08044292,29.6
-2000000,120000,129.63823490000001,33.17240414,0.2
-2000000,125000,129.6230456,33.21836544,5.1
-2000000,130000,129.6078344,33.26431387,252.5
-2000000,135000,129.59260120000002,33.31024945,142.4
-2000000,140000,129.5773459,33.35617218,57.9
-2000000,155000,129.53144740000002,33.493863399999995,68.7
-2000000,235000,129.2832445,34.22627622,219.0
-2000000,240000,129.2675384,34.27194404,84.0
-2000000,250000,129.23605700000002,34.36324175,25.0
-1995000,-195000,130.59869550000002,30.26460228,137.6
-1995000,-190000,130.5848307,30.31140207,883.0
-1995000,-185000,130.5709467,30.35818831,879.0
-1995000,-180000,130.5570433,30.40496102,303.0
-1995000,-85000,130.2891611,31.29108738,3.7
-1995000,-80000,130.2748635,31.33759196,71.8
-1995000,-75000,130.2605457,31.38408325,289.9
-1995000,20000,129.9846272,32.26490853,160.0
-1995000,65000,129.8513029,32.68049085,159.0
-1995000,70000,129.8363828,32.72660167,30.6
-1995000,75000,129.8214413,32.77269953,136.2
-1995000,80000,129.8064783,32.81878444,150.4
-1995000,85000,129.7914938,32.86485641,46.8
-1995000,90000,129.77648770000002,32.91091545,72.7
-1995000,95000,129.7614601,32.95696158,275.3
-1995000,100000,129.7464107,33.00299479,52.0
-1995000,115000,129.7011324,33.14101708,16.2
-1995000,120000,129.68599609999998,33.18699875,44.6
-1995000,125000,129.67083780000002,33.23296757,147.9
-1995000,130000,129.6556577,33.27892354,181.9
-1995000,135000,129.6404556,33.32486666,134.9
-1995000,240000,129.3160538,34.28672336,24.0
-1995000,245000,129.3003566,34.33238642,29.0
-1990000,-190000,130.630754,30.32552549,127.0
-1990000,-185000,130.6168989,30.37231835,571.0
-1990000,-90000,130.3499478,31.25882792,29.4
-1990000,-85000,130.3356999,31.30535269,231.0
-1990000,-80000,130.32143200000002,31.35186417,150.8
-1990000,-75000,130.307144,31.39836239,17.8
-1990000,-70000,130.2928358,31.44484734,8.8
-1990000,-35000,130.192111,31.76987171,128.1
-1990000,-30000,130.1776402,31.816251,20.4
-1990000,15000,130.04647409999998,32.23307375,89.0
-1990000,20000,130.0317962,32.27932195,30.0
-1990000,25000,130.0170973,32.32555709,53.0
-1990000,30000,130.0023774,32.37177919,70.0
-1990000,65000,129.8987466,32.69496969,184.7
-1990000,70000,129.8838572,32.74108786,26.2
-1990000,75000,129.86894640000003,32.78719308,16.6
-1990000,80000,129.85401409999997,32.83328537,1.2
-1990000,95000,129.80908829999998,32.97148471,17.5
-1990000,105000,129.7790298,33.06355312,22.1
-1990000,110000,129.7639681,33.10956801,4.3
-1990000,115000,129.7488845,33.15557004,3.6
-1990000,120000,129.73377920000001,33.2015592,157.9
-1990000,125000,129.718652,33.24753553,435.6
-1990000,130000,129.703503,33.29349902,154.7
-1990000,135000,129.688332,33.33944969,71.0
-1990000,140000,129.673139,33.38538754,2.2
-1990000,245000,129.3489269,34.34713917,8.0
-1990000,250000,129.3332385,34.3927975,137.0
-1990000,255000,129.3175271,34.43844323,143.0
-1990000,260000,129.3017925,34.48407638,71.0
-1985000,-90000,130.396477,31.27305266,65.0
-1985000,-85000,130.3822588,31.31958431,203.0
-1985000,-80000,130.3680206,31.36610269,102.4
-1985000,-75000,130.3537623,31.41260781,7.4
-1985000,-70000,130.3394839,31.459099699999996,5.1
-1985000,-65000,130.3251854,31.50557834,5.0
-1985000,-40000,130.2533889,31.73777347,207.2
-1985000,-35000,130.2389686,31.78417295,415.0
-1985000,-30000,130.2245278,31.83055928,-0.3
-1985000,0,130.1374514,32.1086016,60.2
-1985000,5000,130.1228663,32.15489615,91.7
-1985000,15000,130.0936337,32.24744605,19.0
-1985000,20000,130.0789862,32.29370143,75.0
-1985000,25000,130.0643177,32.33994377,150.0
-1985000,30000,130.0496282,32.38617309,189.0
-1985000,35000,130.03491780000002,32.43238939,358.0
-1985000,70000,129.9313529,32.75554,66.2
-1985000,75000,129.9164729,32.80165257,318.4
-1985000,80000,129.90157140000002,32.84775222,209.7
-1985000,105000,129.8267417,33.07805701,35.0
-1985000,110000,129.8117109,33.12407935,16.8
-1985000,115000,129.7966584,33.17008884,270.8
-1985000,120000,129.7815841,33.21608549,269.0
-1985000,125000,129.7664881,33.26206931,399.7
-1985000,130000,129.7513702,33.30804031,328.6
-1985000,135000,129.7362304,33.353998499999996,66.3
-1985000,255000,129.3661845,34.45317727,7.0
-1985000,260000,129.350482,34.49881833,179.0
-1985000,265000,129.3347563,34.54444682,61.0
-1985000,270000,129.3190075,34.59006275,91.0
-1980000,-90000,130.44302620000002,31.287243699999998,113.0
-1980000,-85000,130.4288377,31.33378222,145.0
-1980000,-80000,130.4146293,31.38030749,161.2
-1980000,-75000,130.4004008,31.42681952,138.0
-1980000,-70000,130.3861522,31.47331831,299.0
-1980000,-65000,130.3718836,31.51980389,72.6
-1980000,-60000,130.3575947,31.56627626,39.0
-1980000,-55000,130.3432857,31.61273543,42.2
-1980000,-50000,130.3289564,31.65918142,143.3
-1980000,-45000,130.3146068,31.70561423,39.0
-1980000,-40000,130.3002369,31.75203388,88.0
-1980000,-35000,130.2858466,31.79844038,123.1
-1980000,-30000,130.27143590000003,31.84483373,63.5
-1980000,-25000,130.2570048,31.89121396,89.8
-1980000,-20000,130.2425531,31.93758107,129.9
-1980000,-15000,130.2280809,31.98393507,195.0
-1980000,-10000,130.2135882,32.03027597,32.6
-1980000,-5000,130.19907479999998,32.07660379,0.6
-1980000,5000,130.16998600000002,32.16922021,222.0
-1980000,10000,130.1554105,32.21550884,21.7
-1980000,20000,130.126197,32.30804697,193.0
-1980000,25000,130.111559,32.354296500000004,366.0
-1980000,30000,130.0969001,32.40053302,404.0
-1980000,35000,130.0822201,32.44675654,175.0
-1980000,40000,130.0675192,32.49296707,84.0
-1980000,70000,129.97887,32.76995808,13.4
-1980000,75000,129.9640207,32.81607799,50.0
-1980000,80000,129.94915020000002,32.86218498,35.6
-1980000,105000,129.87447509999998,33.09252674,154.8
-1980000,110000,129.8594754,33.13855652,55.8
-1980000,115000,129.844454,33.18457346,79.7
-1980000,120000,129.82941090000003,33.23057758,216.0
-1980000,125000,129.814346,33.27656889,387.9
-1980000,130000,129.7992593,33.32254739,96.8
-1980000,135000,129.7841507,33.3685131,160.7
-1980000,145000,129.7538678,33.46040616,41.0
-1980000,260000,129.3991946,34.51352574,261.0
-1980000,265000,129.3835011,34.55916215,26.0
-1980000,270000,129.3677845,34.60478601,44.0
-1975000,-100000,130.517853,31.2082705,27.1
-1975000,-95000,130.5037341,31.2548424,110.0
-1975000,-90000,130.4895954,31.30140104,177.7
-1975000,-85000,130.47543670000002,31.34794642,312.2
-1975000,-80000,130.46125800000002,31.39447857,349.6
-1975000,-75000,130.4470594,31.44099748,141.2
-1975000,-70000,130.4328407,31.48750318,337.0
-1975000,-65000,130.4186019,31.53399568,244.3
-1975000,-60000,130.40434299999998,31.58047498,73.1
-1975000,-55000,130.3900639,31.626941100000003,93.0
-1975000,-50000,130.3757646,31.67339405,115.0
-1975000,-45000,130.361445,31.71983383,154.0
-1975000,-40000,130.34710520000002,31.76626047,184.0
-1975000,-35000,130.332745,31.81267397,8.1
-1975000,-30000,130.3183644,31.85907434,0.7
-1975000,-25000,130.3039635,31.905461600000002,45.2
-1975000,-20000,130.28954199999998,31.95183576,383.0
-1975000,-15000,130.2751001,31.99819682,218.3
-1975000,-10000,130.2606376,32.044544800000004,35.0
-1975000,-5000,130.2461545,32.0908797,4.0
-1975000,20000,130.17342879999998,32.32235855,56.0
-1975000,25000,130.1588213,32.36861526,144.0
-1975000,30000,130.1441929,32.41485897,433.0
-1975000,35000,130.1295435,32.46108969,120.0
-1975000,40000,130.1148732,32.50730744,133.0
-1975000,70000,130.0264084,32.78434208,54.8
-1975000,75000,130.01158999999998,32.83046931,13.1
-1975000,80000,129.9967503,32.87658364,71.0
-1975000,85000,129.9818892,32.92268509,119.6
-1975000,90000,129.9670067,32.96877368,166.1
-1975000,95000,129.9521028,33.0148494,60.9
-1975000,100000,129.9371773,33.06091228,143.0
-1975000,105000,129.9222303,33.10696231,433.3
-1975000,110000,129.9072616,33.15299952,70.1
-1975000,115000,129.89227140000003,33.1990239,166.0
-1975000,120000,129.8772594,33.24503548,238.5
-1975000,125000,129.8622257,33.29103425,15.5
-1975000,130000,129.8471702,33.33702024,1.0
-1975000,135000,129.8320929,33.38299345,50.0
-1975000,140000,129.8169938,33.42895389,54.0
-1975000,145000,129.8018727,33.47490157,37.0
-1975000,175000,129.7106833,33.75032023,89.0
-1975000,180000,129.6954074,33.79617886,71.0
-1975000,185000,129.6801093,33.84202481,9.0
-1975000,260000,129.4479304,34.5281986,14.0
-1975000,265000,129.43226909999998,34.57384291,110.0
-1975000,270000,129.41658470000002,34.61947469,150.0
-1970000,-105000,130.5784519,31.17578848,28.3
-1970000,-100000,130.5643826,31.22238046,64.8
-1970000,-95000,130.55029340000002,31.26895918,280.8
-1970000,-90000,130.5361845,31.31552465,338.0
-1970000,-85000,130.5220556,31.36207689,188.8
-1970000,-80000,130.5079068,31.408615899999997,262.6
-1970000,-75000,130.49373799999998,31.455141700000002,181.0
-1970000,-70000,130.4795492,31.50165429,165.7
-1970000,-65000,130.46534029999998,31.54815369,262.7
-1970000,-60000,130.4511114,31.59463991,166.9
-1970000,-55000,130.4368623,31.64111296,145.9
-1970000,-50000,130.422593,31.68757286,250.3
-1970000,-45000,130.40830359999998,31.73401961,167.0
-1970000,-40000,130.3939938,31.78045323,53.0
-1970000,-35000,130.3796638,31.82687372,14.6
-1970000,-30000,130.36531340000002,31.8732811,77.5
-1970000,-25000,130.35094270000002,31.91967538,365.1
-1970000,-20000,130.33655149999998,31.96605657,530.4
-1970000,-15000,130.3221398,32.01242468,372.0
-1970000,-10000,130.3077076,32.05877972,51.4
-1970000,-5000,130.29325490000002,32.1051217,0.3
-1970000,15000,130.2352375,32.29035929,2.4
-1970000,25000,130.2061044,32.38290002,188.0
-1970000,30000,130.1915066,32.42915091,86.0
-1970000,35000,130.1768879,32.47538883,20.0
-1970000,40000,130.16224820000002,32.52161379,53.0
-1970000,70000,130.07396809999997,32.79869198,17.0
-1970000,75000,130.0591806,32.84482652,4.5
-1970000,80000,130.0443718,32.89094818,161.8
-1970000,85000,130.0295417,32.93705697,294.3
-1970000,90000,130.0146902,32.98315291,526.2
-1970000,95000,129.9998173,33.02923601,481.8
-1970000,100000,129.98492290000002,33.07530626,235.1
-1970000,105000,129.970007,33.121363699999996,130.9
-1970000,110000,129.9550695,33.16740832,350.1
-1970000,115000,129.9401104,33.21344013,62.6
-1970000,120000,129.9251297,33.25945915,66.2
-1970000,125000,129.9101272,33.30546539,123.4
-1970000,130000,129.895103,33.35145885,127.2
-1970000,135000,129.8800571,33.39743955,145.0
-1970000,140000,129.8649892,33.44340749,43.0
-1970000,145000,129.84989950000002,33.48936269,101.0
-1970000,175000,129.7588992,33.76482679,43.0
-1970000,180000,129.74365509999998,33.81069305,17.0
-1970000,270000,129.465408,34.63412877,72.0
-1970000,275000,129.4497328,34.67975595,173.0
-1965000,-195000,130.87434840000003,30.34880131,61.7
-1965000,-125000,130.680933,31.00333012,-0.5
-1965000,-105000,130.6249716,31.18985793,34.0
-1965000,-100000,130.61093200000002,31.23645671,294.3
-1965000,-95000,130.5968726,31.28304224,48.3
-1965000,-70000,130.5262777,31.51577161,3.4
-1965000,-65000,130.5120989,31.56227791,99.6
-1965000,-60000,130.4978999,31.60877104,130.3
-1965000,-55000,130.48368090000002,31.65525102,149.9
-1965000,-50000,130.4694417,31.70171785,199.9
-1965000,-45000,130.4551824,31.74817155,331.0
-1965000,-40000,130.4409028,31.79461213,51.0
