x,y,curie
-1067978.505,23608.2601,7
-1070602.045,39036.0518,7
-1060943.299,52867.8463,7
-1047479.01,55548.5249,7
-1030910.214,54904.513,7
-1020116.832,50137.5245,7
-1014286.674,42054.2763,7
-1023129.706,33097.4674,7
-1034157.085,28763.1155,7
-1039535.023,26055.1551,7
-1059850.588,120462.0402,7
-1065224.568,107536.0624,7
-1075583.576,103564.6956,7
-1090390.328,102282.1521,7
-1104660.574,109053.7046,7
-1108555.164,119789.8577,7
-1110286.702,132018.4206,7
-1106488.443,147421.5095,7
-1095026.557,161341.7477,7
-1084105.648,175412.7511,7
-1078831.099,187889.2015,7
-1075283.907,204419.7308,7
-1076823.443,221269.4609,7
-1075945.335,236469.3791,7
-1067304.658,248605.6336,7
-1055216.989,254693.0653,7
-1041289.383,255157.0633,7
-1025082.206,257607.6945,7
-1009653.16,267474.5803,7
-992885.2165,280090.1543,7
-972394.2159,291750.7735,7
-961851.1404,290562.7529,7
-963905.2492,277206.7326,7
-971009.8048,270302.5601,7
-980245.7391,266008.4933,7
-986847.9092,250756.6935,7
-1000265.437,237790.2617,7
-1011531.284,230437.1087,7
-1026672.336,227691.1656,7
-1043426.851,225376.1804,7
-1057806.759,215258.4878,7
-1066983.905,199166.7225,7
-1072929.09,186346.6989,7
-1075264.021,165925.5673,7
-1071799.209,149651.4655,7
-1065091.599,136649.3191,7
-915533.0427,499681.0416,7
-909575.4383,510570.2529,7
-903347.0111,510481.7664,7
-902818.6721,498399.9749,7
-897523.2078,485071.4273,7
-898410.3773,475970.5579,7
-906018.6838,471229.894,7
-918193.6727,474434.701,7
-925858.5917,477494.7583,7
-926574.0925,484949.2069,7
-921973.2726,493076.5897,7
-746343.6387,862077.5239,7
-735785.9752,859750.8343,7
-731126.0808,850612.6032,7
-742614.6956,845828.7163,7
-751417.5455,844526.0141,7
-761842.083,847343.3476,7
-775545.9444,856315.8223,7
-775792.2358,863222.6325,7
-757043.8464,863922.3435,7
-792617.7073,884658.6944,7
-802089.4522,883032.6606,7
-810141.2299,886291.8667,7
-816153.7853,892687.2965,7
-818232.5536,899061.3213,7
-812119.6173,902657.5864,7
-802558.7863,896868.575,7
-796215.417,893548.9427,7
