x,y,h,z,h_z
-2010000,-190000,494.0,-6.0,500
-2010000,-190000,494.0,494.0,0
-2010000,-190000,494.0,994.0,-500
-2010000,-190000,494.0,1494.0,-1000
-2010000,-190000,494.0,1994.0,-1500
-2010000,-190000,494.0,2494.0,-2000
-2010000,-190000,494.0,2994.0,-2500
-2010000,-190000,494.0,3494.0,-3000
-2010000,-190000,494.0,3994.0,-3500
-2010000,-190000,494.0,4494.0,-4000
-2010000,-190000,494.0,4994.0,-4500
-2010000,-190000,494.0,5494.0,-5000
-2010000,-190000,494.0,5994.0,-5500
-2010000,-190000,494.0,6494.0,-6000
-2010000,-190000,494.0,6994.0,-6500
-2010000,-190000,494.0,7494.0,-7000
-2010000,-190000,494.0,7994.0,-7500
-2010000,-190000,494.0,8494.0,-8000
-2010000,-190000,494.0,8994.0,-8500
-2010000,-190000,494.0,9494.0,-9000
-2010000,-190000,494.0,9994.0,-9500
-2010000,-190000,494.0,10494.0,-10000
-2010000,-190000,494.0,10994.0,-10500
-2010000,-190000,494.0,11494.0,-11000
-2010000,-190000,494.0,11994.0,-11500
-2000000,-190000,1360.0,860.0,500
-2000000,-190000,1360.0,1360.0,0
-2000000,-190000,1360.0,1860.0,-500
-2000000,-190000,1360.0,2360.0,-1000
-2000000,-190000,1360.0,2860.0,-1500
-2000000,-190000,1360.0,3360.0,-2000
-2000000,-190000,1360.0,3860.0,-2500
-2000000,-190000,1360.0,4360.0,-3000
-2000000,-190000,1360.0,4860.0,-3500
-2000000,-190000,1360.0,5360.0,-4000
-2000000,-190000,1360.0,5860.0,-4500
-2000000,-190000,1360.0,6360.0,-5000
-2000000,-190000,1360.0,6860.0,-5500
-2000000,-190000,1360.0,7360.0,-6000
-2000000,-190000,1360.0,7860.0,-6500
-2000000,-190000,1360.0,8360.0,-7000
-2000000,-190000,1360.0,8860.0,-7500
-2000000,-190000,1360.0,9360.0,-8000
-2000000,-190000,1360.0,9860.0,-8500
-2000000,-190000,1360.0,10360.0,-9000
-2000000,-190000,1360.0,10860.0,-9500
-2000000,-190000,1360.0,11360.0,-10000
-2000000,-190000,1360.0,11860.0,-10500
-2000000,-190000,1360.0,12360.0,-11000
-1990000,-190000,127.0,-373.0,500
-1990000,-190000,127.0,127.0,0
-1990000,-190000,127.0,627.0,-500
-1990000,-190000,127.0,1127.0,-1000
-1990000,-190000,127.0,1627.0,-1500
