x,y,h,z,h_z
-2010000,-190000,494.0,12494.0,-12000
-2010000,-190000,494.0,12994.0,-12500
-2010000,-190000,494.0,13494.0,-13000
-2010000,-190000,494.0,13994.0,-13500
-2010000,-190000,494.0,14494.0,-14000
-2010000,-190000,494.0,14994.0,-14500
-2010000,-190000,494.0,15494.0,-15000
-2010000,-190000,494.0,15994.0,-15500
-2010000,-190000,494.0,16494.0,-16000
-2010000,-190000,494.0,16994.0,-16500
-2010000,-190000,494.0,17494.0,-17000
-2010000,-190000,494.0,17994.0,-17500
-2010000,-190000,494.0,18494.0,-18000
-2010000,-190000,494.0,18994.0,-18500
-2010000,-190000,494.0,19494.0,-19000
-2010000,-190000,494.0,19994.0,-19500
-2010000,-190000,494.0,20494.0,-20000
-2000000,-190000,1360.0,12860.0,-11500
-2000000,-190000,1360.0,13360.0,-12000
-2000000,-190000,1360.0,13860.0,-12500
-2000000,-190000,1360.0,14360.0,-13000
-2000000,-190000,1360.0,14860.0,-13500
-2000000,-190000,1360.0,15360.0,-14000
-2000000,-190000,1360.0,15860.0,-14500
-2000000,-190000,1360.0,16360.0,-15000
-2000000,-190000,1360.0,16860.0,-15500
-2000000,-190000,1360.0,17360.0,-16000
-2000000,-190000,1360.0,17860.0,-16500
-2000000,-190000,1360.0,18360.0,-17000
-2000000,-190000,1360.0,18860.0,-17500
-2000000,-190000,1360.0,19360.0,-18000
-2000000,-190000,1360.0,19860.0,-18500
-2000000,-190000,1360.0,20360.0,-19000
-2000000,-190000,1360.0,20860.0,-19500
-2000000,-190000,1360.0,21360.0,-20000
-1990000,-190000,127.0,13127.0,-13000
-1990000,-190000,127.0,13627.0,-13500
-1990000,-190000,127.0,14127.0,-14000
-1990000,-190000,127.0,14627.0,-14500
-1990000,-190000,127.0,15127.0,-15000
-1990000,-190000,127.0,15627.0,-15500
-1990000,-190000,127.0,16127.0,-16000
-1990000,-190000,127.0,16627.0,-16500
-1990000,-190000,127.0,17127.0,-17000
-1990000,-190000,127.0,17627.0,-17500
-1990000,-190000,127.0,18127.0,-18000
-1990000,-190000,127.0,18627.0,-18500
-1990000,-190000,127.0,19127.0,-19000
-1990000,-190000,127.0,19627.0,-19500
-1990000,-190000,127.0,20127.0,-20000
-1960000,-190000,69.0,14069.0,-14000
-1960000,-190000,69.0,14569.0,-14500
-1960000,-190000,69.0,15069.0,-15000
-1960000,-190000,69.0,15569.0,-15500
-1960000,-190000,69.0,16069.0,-16000
-1960000,-190000,69.0,16569.0,-16500
-1960000,-190000,69.0,17069.0,-17000
-1960000,-190000,69.0,17569.0,-17500
-1960000,-190000,69.0,18069.0,-18000
-1960000,-190000,69.0,18569.0,-18500
-1960000,-190000,69.0,19069.0,-19000
-1960000,-190000,69.0,19569.0,-19500
-1960000,-190000,69.0,20069.0,-20000
-2010000,-180000,895.0,11895.0,-11000
-2010000,-180000,895.0,12395.0,-11500
-2010000,-180000,895.0,12895.0,-12000
-2010000,-180000,895.0,13395.0,-12500
-2010000,-180000,895.0,13895.0,-13000
-2010000,-180000,895.0,14395.0,-13500
-2010000,-180000,895.0,14895.0,-14000
-2010000,-180000,895.0,15395.0,-14500
-2010000,-180000,895.0,15895.0,-15000
-2010000,-180000,895.0,16395.0,-15500
-2010000,-180000,895.0,16895.0,-16000
-2010000,-180000,895.0,17395.0,-16500
-2010000,-180000,895.0,17895.0,-17000
-2010000,-180000,895.0,18395.0,-17500
-2010000,-180000,895.0,18895.0,-18000
-2010000,-180000,895.0,19395.0,-18500
-2010000,-180000,895.0,19895.0,-19000
-2010000,-180000,895.0,20395.0,-19500
-2010000,-180000,895.0,20895.0,-20000
-2000000,-180000,308.0,12308.0,-12000
-2000000,-180000,308.0,12808.0,-12500
-2000000,-180000,308.0,13308.0,-13000
-2000000,-180000,308.0,13808.0,-13500
-2000000,-180000,308.0,14308.0,-14000
-2000000,-180000,308.0,14808.0,-14500
-2000000,-180000,308.0,15308.0,-15000
-2000000,-180000,308.0,15808.0,-15500
-2000000,-180000,308.0,16308.0,-16000
-2000000,-180000,308.0,16808.0,-16500
-2000000,-180000,308.0,17308.0,-17000
-2000000,-180000,308.0,17808.0,-17500
-2000000,-180000,308.0,18308.0,-18000
-2000000,-180000,308.0,18808.0,-18500
-2000000,-180000,308.0,19308.0,-19000
-2000000,-180000,308.0,19808.0,-19500
-2000000,-180000,308.0,20308.0,-20000
-1950000,-180000,60.9,14060.9,-14000
-1950000,-180000,60.9,14560.9,-14500
-1950000,-180000,60.9,15060.9,-15000
-1950000,-180000,60.9,15560.9,-15500
-1950000,-180000,60.9,16060.9,-16000
-1950000,-180000,60.9,16560.9,-16500
-1950000,-180000,60.9,17060.9,-17000
-1950000,-180000,60.9,17560.9,-17500
-1950000,-180000,60.9,18060.9,-18000
-1950000,-180000,60.9,18560.9,-18500
-1950000,-180000,60.9,19060.9,-19000
-1950000,-180000,60.9,19560.9,-19500
-1950000,-180000,60.9,20060.9,-20000
-1940000,-170000,70.6,14070.6,-14000
-1940000,-170000,70.6,14570.6,-14500
-1940000,-170000,70.6,15070.6,-15000
-1940000,-170000,70.6,15570.6,-15500
-1940000,-170000,70.6,16070.6,-16000
-1940000,-170000,70.6,16570.6,-16500
-1940000,-170000,70.6,17070.6,-17000
-1940000,-170000,70.6,17570.6,-17500
-1940000,-170000,70.6,18070.6,-18000
-1940000,-170000,70.6,18570.6,-18500
-1940000,-170000,70.6,19070.6,-19000
-1940000,-170000,70.6,19570.6,-19500
-1940000,-170000,70.6,20070.6,-20000
-1940000,-160000,73.2,13573.2,-13500
-1940000,-160000,73.2,14073.2,-14000
-1940000,-160000,73.2,14573.2,-14500
-1940000,-160000,73.2,15073.2,-15000
-1940000,-160000,73.2,15573.2,-15500
-1940000,-160000,73.2,16073.2,-16000
-1940000,-160000,73.2,16573.2,-16500
-1940000,-160000,73.2,17073.2,-17000
-1940000,-160000,73.2,17573.2,-17500
-1940000,-160000,73.2,18073.2,-18000
-1940000,-160000,73.2,18573.2,-18500
-1940000,-160000,73.2,19073.2,-19000
-1940000,-160000,73.2,19573.2,-19500
-1940000,-160000,73.2,20073.2,-20000
-1960000,-120000,234.8,10734.8,-10500
-1960000,-120000,234.8,11234.8,-11000
-1960000,-120000,234.8,11734.8,-11500
-1960000,-120000,234.8,12234.8,-12000
-1960000,-120000,234.8,12734.8,-12500
-1960000,-120000,234.8,13234.8,-13000
-1960000,-120000,234.8,13734.8,-13500
-1960000,-120000,234.8,14234.8,-14000
-1960000,-120000,234.8,14734.8,-14500
-1960000,-120000,234.8,15234.8,-15000
-1960000,-120000,234.8,15734.8,-15500
-1960000,-120000,234.8,16234.8,-16000
-1960000,-120000,234.8,16734.8,-16500
-1960000,-120000,234.8,17234.8,-17000
-1960000,-120000,234.8,17734.8,-17500
-1960000,-120000,234.8,18234.8,-18000
-1960000,-120000,234.8,18734.8,-18500
-1960000,-120000,234.8,19234.8,-19000
-1960000,-120000,234.8,19734.8,-19500
-1960000,-120000,234.8,20234.8,-20000
-1950000,-120000,350.1,10850.1,-10500
-1950000,-120000,350.1,11350.1,-11000
-1950000,-120000,350.1,11850.1,-11500
-1950000,-120000,350.1,12350.1,-12000
-1950000,-120000,350.1,12850.1,-12500
-1950000,-120000,350.1,13350.1,-13000
-1950000,-120000,350.1,13850.1,-13500
-1950000,-120000,350.1,14350.1,-14000
-1950000,-120000,350.1,14850.1,-14500
-1950000,-120000,350.1,15350.1,-15000
-1950000,-120000,350.1,15850.1,-15500
-1950000,-120000,350.1,16350.1,-16000
-1950000,-120000,350.1,16850.1,-16500
-1950000,-120000,350.1,17350.1,-17000
-1950000,-120000,350.1,17850.1,-17500
-1950000,-120000,350.1,18350.1,-18000
-1950000,-120000,350.1,18850.1,-18500
-1950000,-120000,350.1,19350.1,-19000
-1950000,-120000,350.1,19850.1,-19500
-1950000,-120000,350.1,20350.1,-20000
-1940000,-120000,264.9,11764.9,-11500
-1940000,-120000,264.9,12264.9,-12000
-1940000,-120000,264.9,12764.9,-12500
-1940000,-120000,264.9,13264.9,-13000
-1940000,-120000,264.9,13764.9,-13500
-1940000,-120000,264.9,14264.9,-14000
-1940000,-120000,264.9,14764.9,-14500
-1940000,-120000,264.9,15264.9,-15000
-1940000,-120000,264.9,15764.9,-15500
-1940000,-120000,264.9,16264.9,-16000
-1940000,-120000,264.9,16764.9,-16500
-1940000,-120000,264.9,17264.9,-17000
-1940000,-120000,264.9,17764.9,-17500
-1940000,-120000,264.9,18264.9,-18000
-1940000,-120000,264.9,18764.9,-18500
-1940000,-120000,264.9,19264.9,-19000
-1940000,-120000,264.9,19764.9,-19500
-1940000,-120000,264.9,20264.9,-20000
-1950000,-110000,230.3,10730.3,-10500
-1950000,-110000,230.3,11230.3,-11000
-1950000,-110000,230.3,11730.3,-11500
-1950000,-110000,230.3,12230.3,-12000
-1950000,-110000,230.3,12730.3,-12500
-1950000,-110000,230.3,13230.3,-13000
-1950000,-110000,230.3,13730.3,-13500
-1950000,-110000,230.3,14230.3,-14000
-1950000,-110000,230.3,14730.3,-14500
-1950000,-110000,230.3,15230.3,-15000
-1950000,-110000,230.3,15730.3,-15500
-1950000,-110000,230.3,16230.3,-16000
-1950000,-110000,230.3,16730.3,-16500
