x,y,h,z,h_z,t
-2100000,90000,10.0,10220.941846659594,-10210.941846659594,580
-2100000,100000,215.0,10429.494447647008,-10214.494447647008,580
-2070000,110000,55.0,10316.407200967622,-10261.407200967622,580
-2060000,120000,58.0,10467.807957536226,-10409.807957536226,580
-2040000,-30000,286.0,10109.554996482335,-9823.554996482335,580
-2020000,-20000,9.0,10176.497319966335,-10167.497319966335,580
-2020000,130000,71.2,10658.234041026357,-10587.034041026356,580
-2010000,-190000,494.0,12087.538108123945,-11593.538108123945,580
-2010000,-180000,895.0,11771.882629061096,-10876.882629061096,580
-2010000,120000,111.8,10372.685463468808,-10260.885463468809,580
-2010000,140000,287.5,10995.49493364966,-10707.99493364966,580
-2010000,230000,37.0,12531.349613920036,-12494.349613920036,580
-2000000,-190000,1360.0,12494.92968989158,-11134.92968989158,580
-2000000,-180000,308.0,12147.481276854893,-11839.481276854893,580
-2000000,-80000,310.9,9332.864898579512,-9021.964898579512,580
-2000000,60000,179.3,7324.936196632319,-7145.636196632318,580
-2000000,90000,310.1,8391.063555243521,-8080.963555243521,580
-2000000,100000,283.9,9234.032604933249,-8950.13260493325,580
-2000000,110000,29.6,9974.02483463587,-9944.424834635869,580
-2000000,120000,0.2,10422.406950654213,-10422.206950654212,580
-2000000,130000,252.5,10752.396201137877,-10499.896201137877,580
-2000000,140000,57.9,11041.37628392361,-10983.47628392361,580
-2000000,240000,84.0,12446.271431224814,-12362.271431224814,580
-2000000,250000,25.0,12337.860751759568,-12312.860751759568,580
-1990000,-190000,127.0,12911.118900690179,-12784.118900690179,580
-1990000,-90000,29.4,9124.871912596345,-9095.471912596346,580
-1990000,-80000,150.8,9167.740733528844,-9016.940733528845,580
-1990000,-70000,8.8,9396.785532205045,-9387.985532205046,580
-1990000,-30000,20.4,10282.23865511713,-10261.83865511713,580
-1990000,20000,30.0,7700.634239045114,-7670.634239045114,580
-1990000,30000,70.0,7459.973957450892,-7389.973957450892,580
-1990000,70000,26.2,7251.369898027771,-7225.1698980277715,580
-1990000,80000,1.2,7585.88671520337,-7584.68671520337,580
-1990000,110000,4.3,9985.524133691444,-9981.224133691445,580
-1990000,120000,157.9,10462.82120250368,-10304.92120250368,580
-1990000,130000,154.7,10776.134629442715,-10621.434629442714,580
-1990000,140000,2.2,11041.37220796794,-11039.172207967938,580
-1990000,250000,137.0,12331.477544286894,-12194.477544286894,580
-1990000,260000,71.0,12206.530975505615,-12135.530975505615,580
-1980000,-90000,113.0,9112.599516263374,-8999.599516263374,580
-1980000,-80000,161.2,8995.042998914438,-8833.842998914437,580
-1980000,-70000,299.0,9034.803246142805,-8735.803246142805,580
-1980000,-60000,39.0,9371.002214122149,-9332.002214122149,580
-1980000,-50000,143.3,9777.780646490994,-9634.480646490994,580
-1980000,-40000,88.0,9997.140702710538,-9909.140702710538,580
-1980000,-30000,63.5,10011.371942636373,-9947.871942636373,580
-1980000,-20000,129.9,10003.996946917321,-9874.096946917321,580
-1980000,-10000,32.6,9846.526119138653,-9813.926119138652,580
-1980000,10000,21.7,8320.545090964271,-8298.84509096427,580
-1980000,20000,193.0,7763.234691567481,-7570.234691567481,580
-1980000,30000,404.0,7437.539066532883,-7033.539066532883,580
-1980000,40000,84.0,7215.175129047655,-7131.175129047655,580
-1980000,70000,13.4,7006.176582789098,-6992.776582789098,580
-1980000,80000,35.6,7363.967049485474,-7328.367049485473,580
-1980000,110000,55.8,10003.972298054963,-9948.172298054964,580
-1980000,120000,216.0,10497.182473383371,-10281.182473383371,580
-1980000,130000,96.8,10793.257145670457,-10696.457145670458,580
-1980000,260000,261.0,12200.168714418973,-11939.168714418973,580
-1980000,270000,44.0,12073.634267515723,-12029.634267515723,580
-1970000,-100000,64.8,9441.932548478424,-9377.132548478425,580
-1970000,-90000,338.0,9142.142494304537,-8804.142494304537,580
-1970000,-80000,262.6,8846.556340011393,-8583.956340011393,580
-1970000,-70000,165.7,8654.382416118171,-8488.68241611817,580
-1970000,-60000,166.9,8814.364389861135,-8647.464389861136,580
-1970000,-50000,250.3,9180.764039695512,-8930.464039695513,580
-1970000,-40000,53.0,9356.933297848944,-9303.933297848944,580
-1970000,-30000,77.5,9251.651159985087,-9174.151159985087,580
-1970000,-20000,530.4,9247.650803982015,-8717.250803982015,580
-1970000,-10000,51.4,9332.930188678109,-9281.530188678109,580
-1970000,30000,86.0,7438.906272250308,-7352.906272250308,580
-1970000,40000,53.0,7148.194261131661,-7095.194261131661,580
-1970000,70000,17.0,6862.009215051033,-6845.009215051033,580
-1970000,80000,161.8,7228.235688161321,-7066.435688161321,580
-1970000,90000,526.2,8210.150165037292,-7683.950165037292,580
-1970000,100000,235.1,9250.923698558983,-9015.823698558983,580
-1970000,110000,350.1,10079.802262885007,-9729.702262885006,580
-1970000,120000,66.2,10521.999028113656,-10455.799028113655,580
-1970000,130000,127.2,10784.656125577105,-10657.456125577104,580
-1970000,140000,43.0,10971.470417265444,-10928.470417265444,580
-1970000,180000,17.0,11863.553432513034,-11846.553432513034,580
