x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
-2100000,90000,36.72164064231436,53.83336147186145,26.83025519526224,-588.6843156071983,-443.93824388708595
-2100000,95000,40.90749915465575,65.48769624819624,14.860693221550392,-332.87797573511233,-392.89401894020466
-2100000,100000,31.495569151915323,44.21688311688312,21.1255555783274,-399.12774358846696,-277.63954357882915
-2100000,105000,28.869820354459545,37.29575919913421,21.218212822529047,-687.225498571432,-737.1720760474275
-2095000,95000,40.2573248970737,91.48498989898994,-4.558423805241906,-529.8854657712131,-437.7474591013464
-2095000,100000,31.729620164085272,55.69200072150072,4.1239507218905285,-512.2750140703873,-363.7472258228065
-2095000,105000,29.771308669845073,39.08267316017315,19.631514407937964,-353.34829393264977,-365.8228803977247
-2090000,95000,63.578043402856885,153.22920202020217,-30.604678588072048,-538.5563526687768,-460.71661173724283
-2085000,105000,24.189721019631822,29.787138528138527,15.887022833504723,-766.0247111946194,-564.8412588263348
-2085000,110000,32.735278206306695,47.584331890331875,18.838718768343007,-656.857055443423,-511.9143256116656
-2075000,110000,31.703630657444755,40.86286580086579,20.750630886256516,-637.7212306512928,-438.58783102895563
-2070000,110000,30.767141045190723,40.30531024531025,19.625084749485453,-661.3542630343628,-428.789378012538
-2070000,115000,32.68245717778809,47.21413059163059,19.734047347200786,-603.5590038836378,-360.65695336291697
-2060000,115000,30.929625932062617,41.86610028860029,16.739738867749438,-392.37202643643354,-206.18788556381543
-2060000,120000,30.883547614586405,51.043413419913435,17.821774781955455,-665.2808885655129,-238.5273836631954
-2060000,125000,25.202343768889058,39.42533616383618,17.01812067567804,-721.1896463795655,-312.4224149349518
-2055000,115000,33.902528941532964,51.32948556998558,18.94389890398307,-404.49818953207745,-222.85100478732969
-2055000,125000,25.93882691671859,33.686171606171605,14.538387050339743,-584.0223067896898,-374.7910487439898
-2055000,140000,22.47224941214734,30.349339105339112,16.90183124834249,-641.3593651086862,-245.08902541873218
-2050000,115000,29.426825034016424,36.88146248196249,17.092698552594385,-601.9378519419299,-267.61784029723697
-2050000,135000,26.03213329652694,50.6622251082251,11.469412947763466,-661.6913271134929,-294.6932153380234
-2045000,-120000,39.69500027231658,62.73297979797981,9.570247290095889,-505.8982783341485,-206.089643984118
-2045000,-30000,33.501517584028434,50.5025670995671,17.15024647008802,-350.07867352709616,-286.29232668778866
-2045000,145000,25.35196709153273,31.0733021978022,16.122531034773054,-516.2035475581877,-295.7421297866738
-2040000,-30000,34.375941801838096,53.265393939393945,15.196551645317033,-345.2468331937842,-232.3925978063061
-2035000,-25000,32.11880186609791,49.92393073593073,17.306894838106423,-389.2651102194311,-336.44554197691946
-2030000,-165000,74.20094888713987,253.64077525252546,-49.507258075138395,-299.11614998637856,-614.7403669837788
-2025000,-165000,77.66097578466837,287.2811717171719,-62.36066787652861,-389.09995403847006,-489.18872865550475
-2025000,-20000,28.83766769759774,42.14733971583971,18.14540783503422,-567.7932269943853,-754.8763297733786
-2020000,-20000,27.8556014164263,42.77882600732602,18.87045669658961,-420.3504131672029,-716.9787426696454
-2020000,-15000,29.44491372099488,40.96664502164503,16.230040565156646,-587.1551431721296,-369.5840138155087
-2020000,130000,25.33425245294889,40.13302591852593,15.687422230333487,-621.5869407567093,-193.43458631021585
-2015000,-20000,34.09059782908673,41.87755988455988,19.73429197979334,-485.25875275505126,-311.4763898707588
-2015000,130000,27.705130035906382,32.80474164724165,15.421899794210322,-607.4546101077539,-204.9104358772141
-2015000,135000,26.130183629971178,47.99078854478856,10.355435510344297,-524.387660586704,-190.19398318129092
-2015000,145000,25.67090364067758,47.84308003108004,15.71230848168687,-610.1409733585249,-211.27494872911433
-2010000,-190000,44.57750277286256,71.45534487734488,14.003268295291305,-74.9414497960697,-13.961312546296966
-2010000,-185000,63.57879454787232,208.48014814814815,7.537574614203079,75.93452669487608,121.23948973028405
-2010000,-180000,82.15695153342816,254.90742255892258,-6.2400859394180195,165.91046923731244,552.6836029626006
