x,y,grad,grad_max,grad_min,grad_max_h_z,grad_min_h_z
-2417907.0,-499575.0,17.05079829071274,15.41090404040404,13.553843089830863,-254.56335128421185,-261.19171471021707
-2109514.0,97650.0,70.99999999999999,71.0,71.0,-238.0,-238.0
-2109377.0,97252.0,71.64808362369332,85.72222222222219,40.527777777777814,-35.0,-335.0
-2109228.0,101894.0,99.23043623015005,104.24772222222222,87.17177243439224,-236.4220815565729,-320.23343913768156
-2109127.0,101439.0,52.18168509593365,61.207952020201986,37.24095175566658,-153.21103294422824,-716.017744508584
-2108603.0,100627.0,50.15701460951183,62.47380808080822,28.090120736055994,-186.61518256378636,-703.3003293322931
-2108300.0,98890.0,30.64146767617934,89.44444444444444,19.500000000000004,58.0,-842.0
-2107381.0,99947.0,91.53642133633493,93.32932133838383,80.70180596569105,-233.6748462491559,-329.31714066561517
-2107125.0,99498.0,42.56300766295219,58.361515151515235,24.38570289963071,-86.9922711638011,-713.9755555975653
-2106040.0,98954.0,51.18989547038334,49.19191919191918,38.16666666666659,-132.0,-332.0
-2104486.0,102049.0,50.999999999999986,51.0,51.0,-151.0,-151.0
-2103806.0,103267.0,30.623693379790915,40.27777777777777,18.611111111111093,50.0,-250.0
-2103613.0,97749.0,14.000000000000004,14.0,14.0,-639.0,-639.0
-2096516.0,105988.0,19.896493136703814,22.584361111111097,14.457412753205709,-539.0698227031438,-676.4411230558038
-2000670.0,130469.0,28.746680828465216,30.0,26.000000000000014,-240.0,-140.0
-1998070.0,152449.0,27.928070432005047,38.964404040404034,16.35953044568793,-198.04731482501032,-242.2680730496919
-1997892.0,234756.0,26.79919951171091,38.10601262626262,21.671920033570107,-139.0143841190081,-188.93000676539205
-1991407.0,13064.0,45.622719234439685,54.093674242424235,38.122135489331136,-699.3163406191302,-511.62006959852795
-1990073.0,-70798.0,40.95163296256288,64.3631452020202,22.314230729346413,-357.2592088334643,-709.0267394084717
-1989210.0,78371.0,20.94312626775072,26.183737373737397,15.292523007696818,-630.6696920707293,-186.57207872256015
-1988929.0,-73868.0,32.794307328047495,45.270202020202035,-12.126780294160596,-360.5209046553231,-84.39518532291083
-1988179.0,106575.0,21.347299117162947,90.50000000000001,13.000000000000002,-47.0,-447.0
-1987601.0,113939.0,30.305369441971614,42.999999999999986,20.666666666666693,-608.5,-208.5
-1987229.0,-37398.0,31.74476693045292,37.434621212121215,25.463139414374417,-628.3670457285357,-720.5444843705983
-1984536.0,101505.0,30.00000000000002,36.66666666666668,23.33333333333332,-200.0,-100.0
-1983266.0,-46307.0,38.88874413721237,185.89505194805196,16.037601297426637,-110.53528910158894,-588.5153124385198
-1982179.0,-79069.0,36.90667000283062,161.86865584415585,20.879543567478187,-103.28597263286791,-490.78190963965244
-1981420.0,-32001.0,22.54129089860737,31.502424242424226,12.410739825997037,-234.32276534421663,-271.75662099022077
-1981008.0,-43201.0,37.02307014111828,55.752151515151525,21.331859622829604,-467.1410704849359,-528.3296076213694
-1976625.0,-78046.0,22.096160032240135,40.75938888888889,12.084798325149594,38.645688166247915,-47.37659810669018
-1972426.0,87160.0,56.86839577329493,65.0,45.0,-142.0,-242.0
-1971484.0,32172.0,139.58775485140154,129.6546717171717,108.03685148751276,-195.56006478675852,-161.67894400542087
-1971313.0,-59143.0,22.750000000000007,85.00000000000001,15.999999999999975,45.0,-355.0
-1970714.0,-105137.0,52.78657625966118,165.23297979798022,-16.89518146396162,-327.8073555260641,-545.4103300282825
-1970472.0,-101367.0,89.29649465925112,125.56860606060599,56.45940479432901,-268.10740539598675,-186.6763432961332
-1970355.0,-101788.0,45.93566477191831,225.32049494949501,-123.22464376528491,-588.4605767954386,-257.4195816452758
-1969708.0,-97183.0,29.620885776517007,63.636243686868795,-14.02088499861306,-669.3412341146332,-122.54325421849211
-1969059.0,-103273.0,75.20452098726126,293.84562626262573,-39.72301570206675,-644.4956342298168,-226.00752460850106
-1968968.0,-103701.0,82.81092906719064,375.43221717171775,-143.04560333427042,-646.9577701068372,-229.05094385713218
-1967775.0,-5366.0,42.69045302629894,76.46079076479076,27.945407551927147,-378.4429242985718,-527.836532304116
-1967631.0,101790.0,37.88571428571429,56.00000000000001,20.0,-501.0,-201.0
-1966805.0,-104257.0,242.54775550035006,306.30389898989927,189.70502524771632,-197.29145768592622,-224.06164410075797
-1966586.0,-101391.0,161.79999999999998,161.8,161.8,-98.0,-98.0
-1966525.0,-104525.0,75.20191463476564,465.64693939393953,-77.21747932551942,-123.37893729191481,-365.99458997209024
-1966401.0,-101939.0,127.45018007202886,222.709090909091,18.422222222222207,-242.0,158.0
-1966223.0,-99668.0,48.940416952568256,85.79339898989927,6.670297772926945,-401.54764896744274,124.50050305824399
-1966202.0,-104443.0,108.08080295198818,460.636696969697,-143.26956822469722,-196.08465684373027,-444.824983226496
-1965863.0,-100465.0,141.8447636486653,569.0040319865304,-40.14580882727232,2.0527627182720476,-626.1293399404176
-1965729.0,-98625.0,83.55374851587078,274.22652020202065,7.452739246175887,3.6094743854650346,-705.8997877847726
-1965626.0,-98307.0,35.49776761878468,88.05933838383834,17.335853928063553,-452.45562423998075,-508.9049209262654
-1965597.0,-104417.0,407.34261704681904,477.96969696969643,281.38181818181744,-106.0,-406.0
-1965283.0,-100607.0,301.7604754667826,425.686868686869,7.6666666666666865,25.0,225.0
-1964778.0,-99329.0,101.49217098013807,646.7490656565649,-46.686404980071025,-30.302995094042533,-238.2250243308706
-1964744.0,-98328.0,49.43568977120142,78.110106060606,34.38975607569904,-520.4453724827574,-554.8021448780501
-1964632.0,-98747.0,68.10557094298909,345.4283851010104,-2.3794743864771046,-111.72719337503572,-289.0482870489996
-1963226.0,-56851.0,41.4999591872872,52.128664141414134,26.7341037372218,-499.8374483898693,-315.0953470833617
-1962978.0,108422.0,53.87280880554424,90.0,10.0,-30.0,-330.0
-1960523.0,58190.0,30.026132404181205,63.944444444444386,-25.83333333333334,-299.0,1.0
-1960386.0,57778.0,55.90592334494775,84.27777777777784,23.05555555555555,-299.0,1.0
-1958781.0,58688.0,44.78816593093373,156.92553030303065,-23.050949454292784,-156.8672736242863,-195.1532515435892
-1958737.0,58292.0,43.10062289015201,247.23040909090963,-80.44267192173012,-132.29965352946863,-177.98731204194686
