x,y,volcano
-2879851.66,-507264.5214,18894.057019827298
-2421612.703,-487066.4143,178445.3393502227
-2419118.591,-487432.6182,177173.20635244658
-2410802.071,-482922.5591,168520.08880646332
-2408999.619,-480947.2774,165857.82356052494
-2401601.058,-470500.5034,153062.2443395473
-2108350.51,100320.9564,17944.526642545763
-2102161.915,102072.0203,13446.81584211797
-2101271.536,92586.2283,9622.284766867688
-2082539.482,-213249.1192,1919.9512620221644
-2082538.809,-213245.1234,1916.3767342872186
-2082504.903,-213528.1731,2129.0474531886302
-2082501.843,-213530.026,2128.9815398495443
-2082498.779,-213532.8794,2129.7670548783035
-2082491.981,-213951.226,2491.0320023009776
-2082486.509,-213957.903,2494.53147883601
-2082486.274,-213959.0465,2495.4480767383675
-2082435.05,-213698.9097,2241.083233587739
-2082426.255,-213711.0167,2247.5776469226626
-2081100.128,-211770.3833,270.3744291667961
-2081046.481,-211698.0168,322.219414724036
-2071405.579,-204522.4941,862.620778461465
-2071398.46,-204527.2905,858.1662484420943
-2071398.059,-204529.2351,858.6272881894795
-2071396.777,-204526.1942,856.1775934113934
-2071395.614,-204533.2105,858.1155405615934
-2065416.316,105264.2957,27293.09454866293
-2052303.939,129065.1398,51872.99945468818
-2029564.726,-164038.8395,2660.8872213297645
-2028892.811,-162387.7359,3731.1193235818137
-2028886.756,-162390.1583,3726.861571699005
-2025317.018,-163991.3956,3046.3390178299555
-2024332.891,-165744.9732,3350.054958028657
-2011487.572,-134622.2627,3091.6150950523565
-2009502.56,-132998.3152,1742.393404696817
-2009496.889,-133004.5245,1733.9996695631737
-2009483.322,-135251.3178,1400.9951489720868
-2009479.819,-135252.5002,1399.0666658339555
-2009479.709,-135253.4819,1399.613275084949
-2009478.4,-135255.9919,1400.226955193591
-2009472.573,-135262.4096,1399.933295039702
-2008494.775,-132886.6723,1469.6216466658573
-2008460.893,-132866.7369,1487.924963328196
-2008287.578,-133911.4849,458.2330122453673
-2008179.157,-132923.2491,1448.592599535248
-2007981.726,-194298.2889,34547.571289732485
-2007976.483,-194300.0962,34552.04546184595
-2007525.077,-194827.6016,35242.85686579766
-2007523.918,-194827.9889,35243.83736933159
-2007512.523,-194839.1285,35259.49223782146
-2004613.589,-134381.8719,3794.1585260439547
-2004435.032,59548.0623,54190.1517758823
-2003347.364,145922.0971,101254.91857920794
-2003341.312,84688.9226,58678.835378740325
-2001655.665,106282.0417,69369.29389996927
-2000698.366,-195818.2627,40275.208923589
-2000697.433,-195819.7918,40276.96922553148
