Ser,keido,ido,Region (hydrogeologic-geologic),Prefectures,Prefecture_EN,Municipality,Municipality_EN,Place_Name,Onsen_Name,Kosen_Name,Place_Name_EN,Place_Simple_Name_EN,Well_Name,Well_Name_EN,Well_Depth,Simplified_rock_category,Rock_age_EN,Litho_EN,Geol_unit_code,Temp_avail,Disch_avail,Temp,Discharge,Flow_type,Flow_type_EN,Source_type,P (pumped),F (artesian),S (spring - natural),X (unknown source),Water quality sample date,pH,RpH,比重,TSM,H,Li,Na,K,NH4,Ca,Mg,TFe,Fe2+,Fe3+,Mn,Al,F,Cl,HS,SO4,HSO4,S2O3,HCO3,CO3,Br,I,OH,NO3,PO4,HPO4,H2PO4,H3PO4,AsO2,BO2,B,HSiO3,SiO3,SiO2,HAsO2,H2SiO3,HBO2,CO2,H2S,Sr,Ba,Cu,Hg,Pb,Zn,Cd,Cr,As,Ni,Rb,Cs,S,unit,Rn,Rn_unit,Spring_quality,Source,GeolMap,Map_No,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,h,x,y
1241,140.6328262,41.15024733,Aomori coasts and basins,青森県,Aomori,東津軽郡平館村,,平館不老不死,,,,,不老不死,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,0,40.0,,S,Spring (natural seepage),spring,,,S,,,8.6,,,,,,260.0,2.9,,128,0.1,,,,,,,48.2,,766,,,24.4,,,,,,,,,,,,,,,30.5,,,,,,,,,,,,,,,,,,,mg/kg,,,アルカリ性,R:0,05青森,AOM170,,,,,,,,,,,,,19.3,-812967.6085,708421.4523
1274,140.6158475,40.66047333,Aomori coasts and basins,青森県,Aomori,黒石市,,上十川,,,Kamitogawa,Kamitogawa,第2岩木,,,sediments,Late Pleistocene,marine and non-marine sediments,Q3sr,1,1,26.4,167.0,S,Spring (natural seepage),spring,,,S,,,8.4,,,,,,25.9,0.8,,6.6,2.7,,,,,,,12,,11,,,68.3,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,mg/l,,,単純,R:31,05青森,AOM203,,,,,,,,,,,,,39.4,-821837.1884,656768.3495
1456,141.2336752,40.237996,Aomori coasts and basins,岩手県,Iwate,二戸市,,似鳥,,,,,羊見の湯,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,1,13.6,3.4,S,Spring (natural seepage),spring,,,S,,,6.3,,,,,,1690.0,64.9,,79.3,56.2,,,,,,,1520,,373,,,1920,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,mg/kg,,,,R:0,05青森,AOM507,,,,,,,,,,,,,140.3,-774018.3226,604625.0
1464,141.3522158,40.21771017,Aomori coasts and basins,岩手県,Iwate,二戸郡一戸町,,浪打,,,,,弁天の湯,,,sediments,Early Miocene to Middle Miocene,marine and non-marine sediments,N1sr,1,1,13.0,7.7,S,Spring (natural seepage),spring,,,S,,,8.3,,,,,,72.8,6.1,,8.6,0.3,,,,,,,16.6,,14.5,,,218,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,mg/kg,,,単純,R:0,05青森,AOM515,,,,,,,,,,,,,254.0,-763894.0484,601101.4339
1465,141.233212,40.1763495,Aomori coasts and basins,岩手県,Iwate,二戸郡一戸町,,宮田,,,Miyata,Miyata,1号泉,,,sediments,Late Pleistocene to Holocene,marine and non-marine sediments,Hsr,1,0,38.2,,S,Spring (natural seepage),spring,,,S,,,7.1,,,,,,72.8,6.1,,8.6,0.3,,,,,,,724,,,,,1810,,,,,,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,mg/l,,,,R:138,05青森,AOM516,,,,,,,,,,,,,267.9,-774927.9806,598110.8528
1077,141.0465957,41.38614717,Aomori coasts and basins,青森県,Aomori,下北郡大間町,,奥薬研,,,,,鶯鳴荘,,,volcanic,Middle to Late Miocene,non-alkaline felsic volcanic rocks,N2vf,1,1,65.5,43.2,S,Spring (natural seepage),spring,,,S,,,8.2,,,,,,90.0,5,,107,,,,,,,,99,,313,,,25,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,mg/l,,,単純,R:112,05青森,AOM006,,,,,,,,,,,,,69.0,-773872.8188,728483.0712
2139,140.1504907,38.4245505,basins S of Japan,山形県,Yamagata,西村山郡西川町,,海味,,,Kaishyu,Kaishyu,西川町1号,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,15.0,10.0,S,Spring (natural seepage),spring,,,S,,,8.9,,,,,,1114.0,16,,14.5,3.3,,,,,,,1525,,328.2,,,255.5,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,mg/kg,,,,R:0,06秋田,AKI568,,,,,,,,,,,,,194.8,-897593.4098,427361.492
2740,139.2917743,37.80019967,basins S of Japan,新潟県,N?gata,北蒲原郡笹神村,,村杉,,,Murasugi,Murasugi,薬師の湯,,,Quat sediments,Late Pleistocene to Holocene,fan deposits,Hfn,1,1,26.0,92.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,含Rn,R:0,07新潟,NII667,,,,,,,,,,,,,75.1,-985841.5617,374294.7829
2826,138.8914625,37.13115717,basins S of Japan,新潟県,N?gata,南魚沼郡六日町,,河原沢鉱泉,,河原沢,,,河原沢,,,Quat sediments,Late Pleistocene to Holocene,fan deposits,Hfn,1,1,11.0,6.0,S,Spring (natural seepage),spring,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,含S,R:0,07新潟,NII753,,,,,,,,,,,,,253.5,-1034159.2609999999,310730.3429
2871,138.620983,37.189129,basins S of Japan,新潟県,N?gata,刈羽郡高柳町,,天王山鉱泉,,天王山,,,天王山,,,Quat sediments,Late Pleistocene,lower terrace,Q3tl,1,1,12.8,2.7,S,Spring (natural seepage),spring,,,S,,,8.6,,,,,,172.0,14.2,,4.6,2,,,,,,,21.3,,33,,,91.6,,,,,,,,,,,,,,,44.8,,,,,,,,,,,,,,,,,,,mg/kg,,,アルカリ性単純,R:48,07新潟,NII798,,,,,,,,,,,,,125.8,-1058047.817,321031.8636
