ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
32.59823637,128.7819841,Q3_vba_al,新生代 第四紀 後期更新世,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
32.64412399,128.76631880000002,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.68999838,128.7506313,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
32.73585956,128.7349213,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
32.65935982,128.81348540000002,Q2_vba_al,新生代 第四紀 チバニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
32.70524189,128.7978278,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.75111076,128.7821478,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
32.67456187,128.8606744,Q2_vba_al,新生代 第四紀 チバニアン期,火成岩,アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩
32.78151173,128.876668,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
32.82738279,128.8610257,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
32.85766377,128.9556956,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.87275345,129.0030641,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
32.91863439,128.98749009999997,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
32.94872735,129.08235449999998,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
32.99461053,129.06681890000002,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.04048064,129.05126090000002,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.96372293,129.1298201,N2_sns,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.05549154,129.0987875,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
33.19304672,129.0520709,Q2_vbs_al,新生代 第四紀 チバニアン期,火成岩,玄武岩 溶岩・火砕岩
