ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
34.23027778,129.30444440000002,Pg4_sosma,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,海成層 砂岩泥岩互層
32.679147,128.657611,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
32.67527778,128.66,,,,
32.672567,128.664758,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.66944444,128.6675,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.666947,128.681172,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
32.639353,128.66829199999998,N1_vas_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
32.65444444,128.6758333,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.70833333,128.7044444,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.63611111,128.6708333,N1_vas_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
32.66361111,128.685,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.695085999999996,128.70185800000002,N21_pim_a,新生代 新第三紀 中新世 後期ランギアン期〜前期サーラバリアン期,火成岩,花崗閃緑岩・トーナル岩 塊状 島弧・大陸
32.665122,128.69445,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
32.66194444,128.6969444,N1_sns,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
32.75555556,128.7647222,,,,
32.658311,128.723617,N1_vas_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
33.47611111,129.5577778,N2_vis_ai,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,安山岩・玄武岩質安山岩 貫入岩
33.26666667,129.6,Pg4_sns,新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期,堆積岩,非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
33.15277778,129.775,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
33.08333333,129.7916667,H2_or,新生代 第四紀 後期完新世,その他,盛り土・埋立地・干拓地
33.04722222,129.84166670000002,,,,
33.17305556,130.02694440000002,Q11_vas_al,新生代 第四紀 更新世 ジェラシアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
33.09861111,130.0022222,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
32.82055556,129.8663889,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
