x,y,h_z,age
-2100000,90000,-1750,0.07035
-2100000,95000,-1750,17.130000000000003
-2100000,100000,-1750,11.608
-2100000,105000,-1750,0.00585
-2095000,95000,-1750,0.4515
-2095000,100000,-1750,17.130000000000003
-2095000,105000,-1750,11.608
-2090000,95000,-1750,0.4515
-2085000,105000,-1750,13.8
-2085000,110000,-1750,13.8
-2075000,110000,-1750,17.130000000000003
-2070000,110000,-1750,11.608
-2070000,115000,-1750,13.8
-2060000,115000,-1750,11.608
-2060000,120000,-1750,17.130000000000003
-2060000,125000,-1750,17.130000000000003
-2055000,115000,-1750,11.608
-2055000,125000,-1750,13.8
-2055000,140000,-1750,0.4515
-2050000,115000,-1750,17.130000000000003
-2050000,135000,-1750,11.608
-2045000,-120000,-1750,1.287
-2045000,-30000,-1750,13.8
-2045000,145000,-1750,1.287
-2040000,-30000,-1750,13.8
-2035000,-25000,-1750,74.8
-2030000,-165000,-1750,0.00585
-2025000,-165000,-1750,0.4515
-2025000,-20000,-1750,40.849999999999994
-2020000,-20000,-1750,40.849999999999994
-2020000,-15000,-1750,40.849999999999994
-2020000,130000,-1750,11.608
-2015000,-20000,-1750,13.8
-2015000,130000,-1750,11.608
-2015000,135000,-1750,11.608
-2015000,145000,-1750,11.608
-2010000,-190000,-1750,17.130000000000003
-2010000,-185000,-1750,17.130000000000003
-2010000,-180000,-1750,17.130000000000003
-2010000,-135000,-1750,0.00585
-2010000,120000,-1750,13.8
-2010000,140000,-1750,11.608
-2010000,225000,-1750,24.130000000000003
-2010000,230000,-1750,13.8
-2010000,235000,-1750,24.130000000000003
-2005000,-195000,-1750,41.91
-2005000,-190000,-1750,17.130000000000003
-2005000,-185000,-1750,17.130000000000003
-2005000,-180000,-1750,17.130000000000003
-2005000,-175000,-1750,17.130000000000003
-2005000,-70000,-1750,4.913
-2005000,55000,-1750,199.65
-2005000,65000,-1750,40.849999999999994
-2005000,90000,-1750,86.1
-2005000,95000,-1750,86.1
-2005000,100000,-1750,86.1
-2005000,140000,-1750,11.608
-2005000,230000,-1750,24.130000000000003
-2005000,235000,-1750,24.130000000000003
-2005000,240000,-1750,24.130000000000003
-2005000,245000,-1750,24.130000000000003
-2000000,-195000,-1750,17.130000000000003
-2000000,-190000,-1750,0.00585
-2000000,-185000,-1750,17.130000000000003
-2000000,-180000,-1750,17.130000000000003
-2000000,-175000,-1750,41.91
-2000000,-85000,-1750,4.913
-2000000,-80000,-1750,4.913
-2000000,-75000,-1750,107.45
-2000000,60000,-1750,86.1
-2000000,85000,-1750,86.1
-2000000,90000,-1750,86.1
-2000000,95000,-1750,86.1
-2000000,100000,-1750,86.1
-2000000,105000,-1750,11.608
-2000000,110000,-1750,11.608
-2000000,120000,-1750,30.86
-2000000,125000,-1750,30.86
-2000000,130000,-1750,24.130000000000003
-2000000,135000,-1750,11.608
-2000000,140000,-1750,11.608
-2000000,155000,-1750,11.608
-2000000,235000,-1750,24.130000000000003
-2000000,240000,-1750,17.130000000000003
-2000000,250000,-1750,24.130000000000003
-1995000,-195000,-1750,41.91
-1995000,-190000,-1750,17.130000000000003
-1995000,-185000,-1750,17.130000000000003
-1995000,-180000,-1750,17.130000000000003
-1995000,-85000,-1750,0.00585
-1995000,-80000,-1750,0.07035
-1995000,-75000,-1750,107.45
-1995000,20000,-1750,74.8
-1995000,65000,-1750,86.1
-1995000,70000,-1750,4.913
-1995000,75000,-1750,4.913
-1995000,80000,-1750,86.1
-1995000,85000,-1750,86.1
-1995000,90000,-1750,86.1
-1995000,95000,-1750,86.1
-1995000,100000,-1750,86.1
-1995000,115000,-1750,30.86
-1995000,120000,-1750,30.86
-1995000,125000,-1750,24.130000000000003
-1995000,130000,-1750,24.130000000000003
-1995000,135000,-1750,11.608
-1995000,240000,-1750,17.130000000000003
