x,y,h_z,group_ja
-2100000,90000,-2250,火成岩
-2100000,100000,-2250,火成岩
-2070000,110000,-2250,火成岩
-2060000,120000,-2250,堆積岩
-2040000,-30000,-2250,火成岩
-2020000,-20000,-2250,堆積岩
-2020000,130000,-2250,火成岩
-2010000,-190000,-2250,火成岩
-2010000,-180000,-2250,火成岩
-2010000,120000,-2250,火成岩
-2010000,140000,-2250,火成岩
-2010000,230000,-2250,火成岩
-2000000,-190000,-2250,火成岩
-2000000,-180000,-2250,火成岩
-2000000,-80000,-2250,火成岩
-2000000,60000,-2250,変成岩
-2000000,90000,-2250,変成岩
-2000000,100000,-2250,変成岩
-2000000,110000,-2250,火成岩
-2000000,120000,-2250,堆積岩
-2000000,130000,-2250,堆積岩
-2000000,140000,-2250,火成岩
-2000000,240000,-2250,火成岩
-2000000,250000,-2250,堆積岩
-1990000,-190000,-2250,火成岩
-1990000,-90000,-2250,火成岩
-1990000,-80000,-2250,付加体
-1990000,-70000,-2250,堆積岩
-1990000,-30000,-2250,火成岩
-1990000,20000,-2250,堆積岩
-1990000,30000,-2250,堆積岩
-1990000,70000,-2250,火成岩
-1990000,80000,-2250,堆積岩
-1990000,110000,-2250,堆積岩
-1990000,120000,-2250,堆積岩
-1990000,130000,-2250,堆積岩
-1990000,140000,-2250,火成岩
-1990000,250000,-2250,堆積岩
-1990000,260000,-2250,堆積岩
-1980000,-90000,-2250,火成岩
-1980000,-80000,-2250,堆積岩
-1980000,-70000,-2250,堆積岩
-1980000,-60000,-2250,火成岩
-1980000,-50000,-2250,火成岩
-1980000,-40000,-2250,火成岩
-1980000,-30000,-2250,火成岩
-1980000,-20000,-2250,付加体
-1980000,-10000,-2250,火成岩
-1980000,10000,-2250,火成岩
-1980000,20000,-2250,堆積岩
-1980000,30000,-2250,堆積岩
-1980000,40000,-2250,堆積岩
-1980000,70000,-2250,堆積岩
-1980000,80000,-2250,火成岩
-1980000,110000,-2250,堆積岩
-1980000,120000,-2250,堆積岩
-1980000,130000,-2250,堆積岩
-1980000,260000,-2250,堆積岩
-1980000,270000,-2250,堆積岩
-1970000,-100000,-2250,火成岩
-1970000,-90000,-2250,火成岩
-1970000,-80000,-2250,堆積岩
-1970000,-70000,-2250,火成岩
-1970000,-60000,-2250,火成岩
-1970000,-50000,-2250,火成岩
-1970000,-40000,-2250,火成岩
-1970000,-30000,-2250,火成岩
-1970000,-20000,-2250,付加体
-1970000,-10000,-2250,堆積岩
-1970000,30000,-2250,堆積岩
-1970000,40000,-2250,堆積岩
-1970000,70000,-2250,火成岩
-1970000,80000,-2250,火成岩
-1970000,90000,-2250,火成岩
-1970000,100000,-2250,火成岩
-1970000,110000,-2250,火成岩
-1970000,120000,-2250,堆積岩
-1970000,130000,-2250,堆積岩
-1970000,140000,-2250,堆積岩
-1970000,180000,-2250,堆積岩
-1970000,270000,-2250,堆積岩
-1960000,-190000,-2250,堆積岩
-1960000,-120000,-2250,堆積岩
-1960000,-60000,-2250,火成岩
-1960000,-50000,-2250,火成岩
-1960000,-40000,-2250,火成岩
-1960000,-30000,-2250,火成岩
-1960000,-20000,-2250,堆積岩
-1960000,-10000,-2250,付加体
-1960000,20000,-2250,堆積岩
-1960000,30000,-2250,堆積岩
-1960000,50000,-2250,堆積岩
-1960000,70000,-2250,火成岩
-1960000,80000,-2250,火成岩
-1960000,90000,-2250,火成岩
-1960000,100000,-2250,堆積岩
-1960000,110000,-2250,堆積岩
-1960000,120000,-2250,火成岩
-1960000,130000,-2250,堆積岩
-1960000,140000,-2250,その他
-1950000,-180000,-2250,堆積岩
-1950000,-120000,-2250,堆積岩
-1950000,-110000,-2250,火成岩
-1950000,-70000,-2250,火成岩
-1950000,-50000,-2250,堆積岩
-1950000,-40000,-2250,火成岩
-1950000,-30000,-2250,火成岩
-1950000,-20000,-2250,火成岩
-1950000,-10000,-2250,火成岩
-1950000,0,-2250,火成岩
-1950000,30000,-2250,堆積岩
-1950000,50000,-2250,火成岩
-1950000,60000,-2250,火成岩
-1950000,70000,-2250,堆積岩
-1950000,110000,-2250,堆積岩
-1950000,120000,-2250,火成岩
-1950000,130000,-2250,火成岩
-1940000,-170000,-2250,付加体
-1940000,-160000,-2250,付加体
-1940000,-120000,-2250,火成岩
-1940000,-110000,-2250,火成岩
-1940000,-100000,-2250,火成岩
-1940000,-90000,-2250,火成岩
-1940000,-80000,-2250,火成岩
-1940000,-50000,-2250,火成岩
-1940000,-40000,-2250,火成岩
-1940000,-30000,-2250,火成岩
-1940000,-20000,-2250,堆積岩
-1940000,-10000,-2250,火成岩
-1940000,0,-2250,堆積岩
-1940000,10000,-2250,付加体
-1940000,40000,-2250,火成岩
-1940000,110000,-2250,堆積岩
-1940000,120000,-2250,火成岩
-1940000,130000,-2250,火成岩
-1940000,140000,-2250,堆積岩
-1930000,-110000,-2250,火成岩
-1930000,-100000,-2250,火成岩
-1930000,-90000,-2250,火成岩
-1930000,-80000,-2250,火成岩
-1930000,-70000,-2250,火成岩
-1930000,-60000,-2250,火成岩
-1930000,-50000,-2250,火成岩
-1930000,-40000,-2250,火成岩
-1930000,-30000,-2250,堆積岩
-1930000,-20000,-2250,火成岩
-1930000,-10000,-2250,火成岩
-1930000,0,-2250,付加体
-1930000,10000,-2250,付加体
-1930000,20000,-2250,堆積岩
-1930000,30000,-2250,その他
-1930000,40000,-2250,堆積岩
-1930000,80000,-2250,その他
-1930000,90000,-2250,その他
-1930000,100000,-2250,堆積岩
-1930000,110000,-2250,堆積岩
-1930000,120000,-2250,火成岩
-1930000,130000,-2250,火成岩
-1930000,140000,-2250,火成岩
-1930000,150000,-2250,火成岩
-1920000,-110000,-2250,火成岩
-1920000,-90000,-2250,火成岩
-1920000,-80000,-2250,火成岩
-1920000,-70000,-2250,火成岩
-1920000,-60000,-2250,付加体
-1920000,-50000,-2250,付加体
-1920000,-40000,-2250,火成岩
-1920000,-30000,-2250,堆積岩
-1920000,-20000,-2250,火成岩
-1920000,-10000,-2250,火成岩
-1920000,0,-2250,付加体
-1920000,10000,-2250,付加体
-1920000,20000,-2250,堆積岩
-1920000,30000,-2250,堆積岩
-1920000,40000,-2250,火成岩
-1920000,50000,-2250,その他
-1920000,60000,-2250,その他
-1920000,70000,-2250,火成岩
-1920000,80000,-2250,火成岩
-1920000,90000,-2250,堆積岩
-1920000,100000,-2250,堆積岩
-1920000,110000,-2250,堆積岩
-1920000,120000,-2250,火成岩
-1920000,130000,-2250,火成岩
-1920000,140000,-2250,堆積岩
-1910000,-90000,-2250,火成岩
-1910000,-80000,-2250,火成岩
-1910000,-70000,-2250,堆積岩
-1910000,-60000,-2250,堆積岩
-1910000,-50000,-2250,付加体
-1910000,-40000,-2250,火成岩
-1910000,-30000,-2250,堆積岩
-1910000,-20000,-2250,付加体
-1910000,-10000,-2250,堆積岩
-1910000,0,-2250,付加体
-1910000,10000,-2250,付加体
-1910000,20000,-2250,付加体
-1910000,30000,-2250,火成岩
-1910000,40000,-2250,堆積岩
-1910000,50000,-2250,堆積岩
-1910000,60000,-2250,火成岩
-1910000,70000,-2250,火成岩
-1910000,80000,-2250,火成岩
-1910000,90000,-2250,変成岩
-1910000,100000,-2250,堆積岩
-1910000,110000,-2250,堆積岩
-1910000,120000,-2250,火成岩
-1910000,130000,-2250,堆積岩
-1910000,140000,-2250,堆積岩
-1900000,-90000,-2250,堆積岩
-1900000,-80000,-2250,付加体
-1900000,-70000,-2250,堆積岩
-1900000,-60000,-2250,堆積岩
-1900000,-50000,-2250,付加体
-1900000,-40000,-2250,火成岩
-1900000,-30000,-2250,火成岩
-1900000,-20000,-2250,付加体
-1900000,-10000,-2250,堆積岩
-1900000,0,-2250,付加体
-1900000,10000,-2250,付加体
-1900000,20000,-2250,付加体
-1900000,30000,-2250,火成岩
