x,y,h,z,h_z,t,ido,keido
-1861411.4919999999,70034.9697,570.0,500,70.0,31.0,33.102222,131.11193799999998
-1859069.6519999998,70127.9894,892.0,500,392.0,23.8,33.109444,131.134171
-1856592.2130000002,67332.939,990.0,500,490.0,56.6,33.090278999999995,131.16583300000002
-1855581.935,75226.2649,748.0,500,248.0,185.3,33.166111,131.15333600000002
-1851143.3930000002,70448.8096,876.0,500,376.0,80.3,33.133888,131.209442
-1851138.9019999998,73627.0132,839.0,500,339.0,18.5,33.163334000000006,131.20056200000002
-1858209.621,65857.053,797.0,500,297.0,108.7,33.072224,131.154449
-1857565.759,73287.0322,860.0,500,360.0,191.8,33.142776,131.139725
-1854678.477,73281.7012,978.0,500,478.0,25.1,33.150555,131.167496
-1847946.9,68826.8959,1107.0,500,607.0,74.2,33.127499,131.24472
-1857023.763,70698.4136,1034.0,500,534.0,19.6,33.120277,131.152222
-1852338.757,71697.8609,828.0,500,328.0,23.1,33.142223,131.194443
-1858458.966,66589.8616,752.0,500,252.0,77.9,33.078334999999996,131.149994
-1855827.28,68758.5937,1196.0,500,696.0,24.5,33.105556,131.169174
-1854622.765,75245.4041,740.0,500,240.0,160.0,33.168888,131.162506
-1858853.416,75105.1485,626.0,500,126.0,141.9,33.156113,131.122223
-1858069.21,71964.6533,859.0,500,359.0,51.6,33.129166,131.138611
-1856156.938,66545.7065,940.0,500,440.0,112.4,33.084167,131.172226
-1849538.221,69710.7795,970.0,500,470.0,84.3,33.13139,131.226944
-1851117.034,70441.1151,885.0,500,385.0,81.4,33.133888,131.20971699999998
-593493.0696,959827.0845,1134.0,500,634.0,55.9,43.724724,142.82638500000002
-944337.7416,454732.3501,43.0,500,-457.0,75.8,38.612499,139.598892
-1825205.156,82116.4795,939.0,500,439.0,228.0,33.311668,131.42666599999998
-802133.1976,522740.4196,335.0,500,-165.0,57.7,39.441113,141.04388400000002
-825518.0616,576946.144,434.0,500,-66.0,110.1,39.915131,140.701622
-847615.0109,822161.2319,190.0,500,-310.0,86.2,42.1525,140.04361
-1927124.279,-33896.865,788.0,500,288.0,127.4,31.9575,130.779724
-1858677.396,65844.0768,769.0,500,269.0,102.4,33.070834999999995,131.149994
-1838469.8159999999,77196.9677,658.0,500,158.0,108.0,33.230556,131.3125
-1173751.024,241765.7096,1246.0,500,746.0,189.4,36.251389,137.563049
-953398.7948,331220.8406,395.0,500,-105.0,111.0,37.44611,139.710556
-815815.3678,645848.3204,386.0,500,-114.0,96.5,40.567223,140.701111
-832448.8518,867382.0837,474.0,500,-26.0,42.2,42.589443,140.140549
-767440.8106,735206.6172,50.0,500,-450.0,108.7,41.45639,141.109726
-768673.6697,733811.1064,277.0,500,-223.0,116.4,41.441944,141.097778
-769271.6515,731729.2259,350.0,500,-150.0,79.8,41.421944,141.094162
-761731.5868,854087.8792,238.0,500,-262.0,71.0,42.560555,140.988617
-856195.0872,827907.4097,281.0,500,-219.0,57.3,42.193333,139.934174
-1859481.611,72768.8868,676.0,500,176.0,78.8,33.132778,131.122772
-1860295.4119999998,71867.6114,663.0,500,163.0,46.3,33.122223,131.117493
-815639.6347,585923.9972,562.0,500,62.0,126.2,40.011447,140.797478
-813972.5598,584180.7641,896.0,500,396.0,122.9,39.997419,140.818758
-817604.292,583886.2964,987.0,500,487.0,135.1,39.989961,140.778781
-823318.8096,566458.0919,943.0,500,443.0,39.6,39.820557,140.742493
-820394.8381,564104.6455,638.0,500,138.0,81.8,39.802502000000004,140.77861000000001
-821610.6847,564006.0772,648.0,500,148.0,82.2,39.799999,140.765274
-798269.8101,658616.1551,642.0,500,142.0,65.4,40.708332,140.878616
-806091.5172,655869.7909,553.0,500,53.0,88.2,40.672779,140.794724
-894174.7483,446013.7781,357.0,500,-143.0,219.2,38.603333,140.157227
-1395782.773,25976.2492,74.0,500,-426.0,34.4,33.802776,135.763336
-1928625.001,-36645.8719,597.0,500,97.0,56.3,31.927778000000004,130.773331
-1926686.489,-39735.2653,584.0,500,84.0,183.4,31.904444,130.800278
-1928159.065,-39922.7401,441.0,500,-59.0,60.6,31.898611,130.78694199999998
-1156345.3190000001,306599.0935,269.0,500,-231.0,35.4,36.887778999999995,137.616104
-816511.4613,814698.4462,265.0,500,-235.0,77.2,42.126389,140.416382
-781495.0105,797532.7095,49.0,500,-451.0,59.2,42.014168,140.849716
-776841.8444,788607.0976,177.0,500,-323.0,82.4,41.937778,140.91777
-848586.3483,481375.9857,745.0,500,245.0,180.0,38.995277,140.597229
-849394.6492,483011.8623,475.0,500,-25.0,96.0,39.009445,140.585831
-853146.2355,477768.3408,497.0,500,-3.0,162.0,38.955555,140.553055
-1965779.792,-100462.9172,159.0,500,-341.0,159.7,31.22995,130.604972
-1965859.575,-104424.7836,41.0,500,-459.0,239.0,31.192803,130.61535800000001
-1966585.76,-101391.3437,152.0,500,-348.0,80.9,31.219031,130.600078
-756049.9527,860551.5552,391.0,500,-109.0,55.6,42.627224,141.044724
-753213.1378,857662.32,537.0,500,37.0,111.2,42.604168,141.082504
-752162.6063,859812.2002,631.0,500,131.0,93.1,42.625278,141.091385
-1076084.273,261098.2207,1490.0,500,990.0,95.2,36.599167,138.541382
-1856789.013,75249.7628,781.0,500,281.0,187.5,33.163055,131.141663
-1856533.8280000002,74934.7721,837.0,500,337.0,170.9,33.160831,131.145004
-1857025.195,75229.213,800.0,500,300.0,207.2,33.162224,131.13945
-1857144.144,75023.8466,797.0,500,297.0,207.2,33.16,131.13888500000002
-1857121.189,75497.1435,770.0,500,270.0,207.5,33.164444,131.13777199999998
-1856172.679,74889.1403,756.0,500,256.0,204.5,33.161388,131.148605
-1856145.76,75571.4577,763.0,500,263.0,197.3,33.167778000000006,131.146942
-1856524.428,75562.4973,788.0,500,288.0,196.2,33.166668,131.143326
-748686.6547,898517.8194,527.0,500,27.0,181.8,42.985832,141.070557
-748424.0695,897848.0899,562.0,500,62.0,210.9,42.98,141.074722
-743989.927,897338.8334,319.0,500,-181.0,108.4,42.980835,141.127777
-1842147.9780000001,79225.5082,617.0,500,117.0,171.6,33.239445,131.271393
-1843160.407,78920.3095,636.0,500,136.0,111.2,33.233891,131.262497
-1844269.914,77983.0394,687.0,500,187.0,61.7,33.222221000000005,131.25444
-1176283.3020000001,239039.9695,1060.0,500,560.0,178.5,36.22139,137.54222099999998
-1177031.564,238914.9547,1087.0,500,587.0,124.8,36.218887,137.534729
-1176098.385,237757.0213,1107.0,500,607.0,116.9,36.209721,137.546661
-882807.7382,396304.6543,612.0,500,112.0,72.3,38.154999,140.359726
-886931.4101,392839.3064,278.0,500,-222.0,46.3,38.116943,140.320831
-888111.2196,389387.9642,441.0,500,-59.0,35.3,38.083057000000004,140.313614
-417331.2793,950437.1166,202.0,500,-298.0,66.9,43.788569,144.954322
-410764.2218,956920.439,201.0,500,-299.0,64.7,43.853008,145.027539
-418630.6006,940932.1053,222.0,500,-278.0,75.6,43.699903000000006,144.94743300000002
-423221.7502,937992.4896,450.0,500,-50.0,101.1,43.6695,144.894972
-420808.544,941016.1212,426.0,500,-74.0,129.3,43.699135999999996,144.92117199999998
-440672.3701,931678.3977,278.0,500,-222.0,65.6,43.598492,144.691461
-422137.7095,942547.9276,300.0,500,-200.0,86.0,43.712333,144.903772
-430458.4259,937013.0684,297.0,500,-203.0,70.9,43.655246999999996,144.808961
-439174.9228,935026.0536,331.0,500,-169.0,58.7,43.630511,144.70620300000002
-468265.6281,932170.3539,198.0,500,-302.0,16.4,43.581908,144.360117
-471970.1154,930862.9948,130.0,500,-370.0,18.9,43.566908000000005,144.31706699999998
-469809.6191,928751.7148,148.0,500,-352.0,51.9,43.549133000000005,144.345122
-465467.2397,926094.9344,130.0,500,-370.0,32.8,43.528025,144.399839
-465707.0217,919978.8011,140.0,500,-360.0,92.8,43.471367,144.403178
-469022.7655,930816.166,147.0,500,-353.0,14.3,43.568811,144.352431
-488623.0226,912792.9666,346.0,500,-154.0,77.6,43.386644,144.13681699999998
-496916.4828,909445.0059,698.0,500,198.0,59.2,43.348872,144.041442
-487790.5587,914181.8412,357.0,500,-143.0,95.6,43.40015,144.145283
-493373.0547,908025.7483,503.0,500,3.0,67.2,43.338710999999996,144.085222
-496707.55700000003,908046.4746,426.0,500,-74.0,77.4,43.336133000000004,144.045439
-487727.7973,915541.312,388.0,500,-112.0,94.3,43.412753,144.144592
-493941.8733,912906.8302,761.0,500,261.0,135.6,43.383308,144.07321100000001
-483699.1654,916891.5040000001,469.0,500,-31.0,91.1,43.428506,144.19128899999998
-489466.0151,908807.3598,285.0,500,-215.0,82.3,43.34915,144.130986
-588870.8377,964262.2907,672.0,500,172.0,30.2,43.770164,142.876072
-593271.1813,964226.693,673.0,500,173.0,28.8,43.765442,142.8233
-591845.5784,963075.9912,761.0,500,261.0,37.8,43.756278,142.841911
-590297.0548,963270.1197,696.0,500,196.0,58.1,43.759611,142.860242
-594511.0631,961132.8279,876.0,500,376.0,57.6,43.735721999999996,142.812469
-589384.9511,961767.5555,912.0,500,412.0,63.9,43.746689,142.87313899999998
-595274.8216,959013.4921,1024.0,500,524.0,61.8,43.715447,142.806083
-584614.0214,961239.5044,595.0,500,95.0,123.6,43.746558,142.931069
-586859.2163,962959.1687,574.0,500,74.0,77.0,43.760166999999996,142.901906
-585042.5162,964528.1516,607.0,500,107.0,63.0,43.776408,142.921689
-746800.5065,899280.5345,399.0,500,-101.0,116.0,42.9952,141.09156399999998
-748365.6813,897362.6592,567.0,500,67.0,247.9,42.975608,141.076186
-745207.8821,898627.0926,357.0,500,-143.0,111.0,42.991172,141.111375
-749202.4968,898428.6073,514.0,500,14.0,186.6,42.984367,141.06462199999999
-747178.5,893353.3236,648.0,500,148.0,92.5,42.940208,141.096567
-746811.9853,895537.9606,667.0,500,167.0,41.0,42.960761,141.0974
-749028.3259999999,898495.5119,506.0,500,6.0,209.0,42.9852,141.066567
-745436.1804,896749.6671,519.0,500,19.0,121.9,42.973619,141.111675
-745499.7346,893923.173,527.0,500,27.0,71.8,42.947539,141.115425
-757285.9858,908291.0157,505.0,500,5.0,69.4,43.064889,140.953419
-761902.3031,907540.2301,462.0,500,-38.0,38.1,43.052131,140.90018899999998
-763694.8989,906000.8021,406.0,500,-94.0,32.4,43.035697,140.881567
-761642.0755,904433.5221,492.0,500,-8.0,28.7,43.023903000000004,140.908325
-758398.5909999999,903942.9836,534.0,500,34.0,62.1,43.023508,140.947356
-757144.4079,902486.8371,564.0,500,64.0,67.3,43.011706,140.9645
-760099.1507,909074.3907,554.0,500,54.0,73.4,43.068525,140.918956
-754068.9928,906697.8845,727.0,500,227.0,107.0,43.054303000000004,140.99395
-757279.949,904334.7471,609.0,500,109.0,74.2,43.028525,140.959908
-755975.9528,902161.9477,677.0,500,177.0,147.1,43.010194,140.978797
-754101.2606,905956.6013,792.0,500,292.0,87.5,43.047447,140.994767
-755213.4808,858895.4201,349.0,500,-151.0,96.7,42.613021999999994,141.057147
-757014.0155,857181.9872,397.0,500,-103.0,83.2,42.594986,141.038817
