x,y,h,z,h_z
-2010000,-190000,494.0,-6.0,500
-2010000,-190000,494.0,494.0,0
-2010000,-190000,494.0,994.0,-500
-2010000,-190000,494.0,1494.0,-1000
-2010000,-190000,494.0,1994.0,-1500
-2010000,-190000,494.0,2494.0,-2000
-2010000,-190000,494.0,2994.0,-2500
-2010000,-190000,494.0,3494.0,-3000
-2010000,-190000,494.0,3994.0,-3500
-2010000,-190000,494.0,4494.0,-4000
-2010000,-190000,494.0,4994.0,-4500
-2010000,-190000,494.0,5494.0,-5000
-2000000,-190000,1360.0,860.0,500
-2000000,-190000,1360.0,1360.0,0
-2000000,-190000,1360.0,1860.0,-500
-2000000,-190000,1360.0,2360.0,-1000
-2000000,-190000,1360.0,2860.0,-1500
-2000000,-190000,1360.0,3360.0,-2000
-2000000,-190000,1360.0,3860.0,-2500
-2000000,-190000,1360.0,4360.0,-3000
-2000000,-190000,1360.0,4860.0,-3500
-2000000,-190000,1360.0,5360.0,-4000
-2000000,-190000,1360.0,5860.0,-4500
-2000000,-190000,1360.0,6360.0,-5000
-1990000,-190000,127.0,-373.0,500
-1990000,-190000,127.0,127.0,0
-1990000,-190000,127.0,627.0,-500
-1990000,-190000,127.0,1127.0,-1000
-1990000,-190000,127.0,1627.0,-1500
-1990000,-190000,127.0,2127.0,-2000
-1990000,-190000,127.0,2627.0,-2500
-1990000,-190000,127.0,3127.0,-3000
-1990000,-190000,127.0,3627.0,-3500
-1990000,-190000,127.0,4127.0,-4000
-1990000,-190000,127.0,4627.0,-4500
-1990000,-190000,127.0,5127.0,-5000
-1960000,-190000,69.0,-431.0,500
-1960000,-190000,69.0,69.0,0
-1960000,-190000,69.0,569.0,-500
-1960000,-190000,69.0,1069.0,-1000
-1960000,-190000,69.0,1569.0,-1500
-1960000,-190000,69.0,2069.0,-2000
-1960000,-190000,69.0,2569.0,-2500
-1960000,-190000,69.0,3069.0,-3000
-1960000,-190000,69.0,3569.0,-3500
-1960000,-190000,69.0,4069.0,-4000
-1960000,-190000,69.0,4569.0,-4500
-1960000,-190000,69.0,5069.0,-5000
-2010000,-180000,895.0,395.0,500
-2010000,-180000,895.0,895.0,0
-2010000,-180000,895.0,1395.0,-500
-2010000,-180000,895.0,1895.0,-1000
-2010000,-180000,895.0,2395.0,-1500
-2010000,-180000,895.0,2895.0,-2000
-2010000,-180000,895.0,3395.0,-2500
