x,y,h,z,h_z
-2010000,-190000,494.0,-6.0,500
-2010000,-190000,494.0,244.0,250
-2010000,-190000,494.0,494.0,0
-2010000,-190000,494.0,744.0,-250
-2010000,-190000,494.0,994.0,-500
-2010000,-190000,494.0,1244.0,-750
-2010000,-190000,494.0,1494.0,-1000
-2010000,-190000,494.0,1744.0,-1250
-2010000,-190000,494.0,1994.0,-1500
-2010000,-190000,494.0,2244.0,-1750
-2010000,-190000,494.0,2494.0,-2000
-2010000,-190000,494.0,2744.0,-2250
-2010000,-190000,494.0,2994.0,-2500
-2010000,-190000,494.0,3244.0,-2750
-2010000,-190000,494.0,3494.0,-3000
-2010000,-190000,494.0,3744.0,-3250
-2010000,-190000,494.0,3994.0,-3500
-2010000,-190000,494.0,4244.0,-3750
-2010000,-190000,494.0,4494.0,-4000
-2010000,-190000,494.0,4744.0,-4250
-2010000,-190000,494.0,4994.0,-4500
-2010000,-190000,494.0,5244.0,-4750
-2010000,-190000,494.0,5494.0,-5000
-2000000,-190000,1360.0,860.0,500
-2000000,-190000,1360.0,1110.0,250
-2000000,-190000,1360.0,1360.0,0
-2000000,-190000,1360.0,1610.0,-250
-2000000,-190000,1360.0,1860.0,-500
-2000000,-190000,1360.0,2110.0,-750
-2000000,-190000,1360.0,2360.0,-1000
-2000000,-190000,1360.0,2610.0,-1250
-2000000,-190000,1360.0,2860.0,-1500
-2000000,-190000,1360.0,3110.0,-1750
-2000000,-190000,1360.0,3360.0,-2000
-2000000,-190000,1360.0,3610.0,-2250
-2000000,-190000,1360.0,3860.0,-2500
-2000000,-190000,1360.0,4110.0,-2750
-2000000,-190000,1360.0,4360.0,-3000
-2000000,-190000,1360.0,4610.0,-3250
-2000000,-190000,1360.0,4860.0,-3500
-2000000,-190000,1360.0,5110.0,-3750
-2000000,-190000,1360.0,5360.0,-4000
-2000000,-190000,1360.0,5610.0,-4250
-2000000,-190000,1360.0,5860.0,-4500
-2000000,-190000,1360.0,6110.0,-4750
-2000000,-190000,1360.0,6360.0,-5000
-1990000,-190000,127.0,-373.0,500
-1990000,-190000,127.0,-123.0,250
-1990000,-190000,127.0,127.0,0
-1990000,-190000,127.0,377.0,-250
-1990000,-190000,127.0,627.0,-500
-1990000,-190000,127.0,877.0,-750
-1990000,-190000,127.0,1127.0,-1000
-1990000,-190000,127.0,1377.0,-1250
-1990000,-190000,127.0,1627.0,-1500
-1990000,-190000,127.0,1877.0,-1750
-1990000,-190000,127.0,2127.0,-2000
-1990000,-190000,127.0,2377.0,-2250
-1990000,-190000,127.0,2627.0,-2500
-1990000,-190000,127.0,2877.0,-2750
-1990000,-190000,127.0,3127.0,-3000
-1990000,-190000,127.0,3377.0,-3250
-1990000,-190000,127.0,3627.0,-3500
-1990000,-190000,127.0,3877.0,-3750
-1990000,-190000,127.0,4127.0,-4000
-1990000,-190000,127.0,4377.0,-4250
-1990000,-190000,127.0,4627.0,-4500
-1990000,-190000,127.0,4877.0,-4750
-1990000,-190000,127.0,5127.0,-5000
-1960000,-190000,69.0,-431.0,500
-1960000,-190000,69.0,-181.0,250
-1960000,-190000,69.0,69.0,0
-1960000,-190000,69.0,319.0,-250
-1960000,-190000,69.0,569.0,-500
-1960000,-190000,69.0,819.0,-750
-1960000,-190000,69.0,1069.0,-1000
