t,tal,toro
0.01,0.01,0
5,20.98,0.0761
10,42.01,0.151
15,62.99,0.2245
20,83.96,0.2966
25,104.89,0.3674
30,125.79,0.4369
35,146.68,0.5053
40,167.57,0.5725
45,188.45,0.6387
50,209.33,0.7038
55,230.23,0.7679
60,251.13,0.8312
65,272.06,0.8935
70,292.98,0.9549
75,313.93,1.0155
80,334.91,1.0753
85,355.9,1.1343
90,376.92,1.1925
95,397.96,1.25
100,419.04,1.3069
105,440.15,1.363
110,461.3,1.4185
115,482.48,1.4734
120,503.71,1.5276
125,524.99,1.5813
130,546.31,1.6344
135,567.69,1.687
140,589.13,1.7391
145,610.63,1.7907
150,632.2,1.8418
155,653.84,1.8925
160,675.55,1.9427
165,697.34,1.9925
170,719.21,2.0419
175,741.17,2.0909
180,763.22,2.1396
185,785.37,2.1879
190,807.62,2.2359
195,829.98,2.2835
200,852.45,2.3309
205,875.04,2.378
210,897.76,2.4248
215,920.62,2.4714
220,943.62,2.5178
225,966.78,2.5639
230,990.12,2.6099
235,1013.62,2.6558
240,1037.32,2.7015
245,1061.23,2.7472
250,1085.36,2.7927
255,1109.73,2.8383
260,1134.37,2.8838
265,1159.28,2.9294
270,1184.51,2.9751
275,1210.07,3.0208
280,1235.99,3.0668
285,1262.31,3.113
290,1289.07,3.1594
295,1316.3,3.2062
300,1344,3.2534
305,1372.4,3.301
310,1401.3,3.3493
315,1431,3.3982
320,1461.5,3.448
330,1525.3,3.5507
340,1594.2,3.6594
350,1670.6,3.7777
360,1760.5,3.9147
370,1890.5,4
