x,y,volcano
-2100000,90000,9050.042282254144
-2100000,95000,8409.515283926166
-2100000,100000,10465.974838044844
-2100000,105000,14083.79605470726
-2095000,95000,3573.1760816656465
-2095000,100000,7182.218968437781
-2095000,105000,11849.090737714327
-2090000,95000,1546.653778035754
-2085000,105000,12591.179766372687
-2085000,110000,17291.698670434696
-2075000,110000,22348.02100654808
-2070000,110000,25974.018613012402
-2070000,115000,29412.831858036294
-2060000,115000,36953.29319437059
-2060000,120000,40075.06597510621
-2060000,125000,43548.54702408699
-2055000,115000,41118.87009523871
-2055000,125000,47134.82309194675
-2055000,140000,58250.207320739355
-2050000,115000,45453.02055869463
-2050000,135000,57687.40952676864
-2045000,-120000,39306.86383139582
-2045000,-30000,92886.45508692731
-2045000,145000,68439.62951323683
-2040000,-30000,87960.59941028008
-2035000,-25000,84120.8953388857
-2030000,-165000,2495.506282926296
-2025000,-165000,2830.804056822983
-2025000,-20000,75991.81881371024
-2020000,-20000,71301.68326635609
-2020000,-15000,73239.43275733206
-2020000,130000,78985.22509247613
-2015000,-20000,66656.60917430292
-2015000,130000,83449.87347449438
-2015000,135000,85757.48607503092
-2015000,145000,91023.49415348282
-2010000,-190000,29876.13431500347
-2010000,-185000,26014.24516698741
-2010000,-180000,22603.063987170586
-2010000,-135000,1718.5148413395232
-2010000,120000,84309.94551598952
-2010000,140000,92574.44060273397
-2010000,225000,153973.8050705675
-2010000,230000,158266.85592033828
-2010000,235000,162600.31586042236
-2005000,-195000,36881.04867825925
-2005000,-190000,33081.253023549885
-2005000,-185000,29639.95363707792
-2005000,-180000,26696.149565211246
-2005000,-175000,24430.348986621717
-2005000,-70000,44790.531967134026
-2005000,55000,54956.99244715099
-2005000,65000,55009.930111173664
-2005000,90000,62575.121980194424
-2005000,95000,65142.58658386395
-2005000,100000,67981.37452888262
-2005000,140000,96929.05989902679
-2005000,230000,160852.76896251776
-2005000,235000,165118.3766814255
-2005000,240000,169424.152212455
-2005000,245000,173767.10962638792
-2000000,-195000,40149.69055432594
-2000000,-190000,36689.987756990726
-2000000,-185000,33620.12420572133
-2000000,-180000,31055.92216644242
-2000000,-175000,29131.21781883019
-2000000,-85000,31009.80805969063
-2000000,-80000,34168.93767588998
-2000000,-75000,37728.29717730253
-2000000,60000,49755.73238166845
-2000000,85000,55813.854774923144
-2000000,90000,58250.296830455816
-2000000,95000,61000.063744525796
-2000000,100000,64022.79650902646
-2000000,105000,67281.71496652125
-2000000,110000,70744.1860850502
-2000000,120000,78170.07903818577
-2000000,125000,82088.19618456853
-2000000,130000,86118.42223842823
-2000000,135000,90245.73865195083
-2000000,140000,94457.41919423912
-2000000,155000,107498.54012420919
-2000000,235000,167747.70912864688
-2000000,240000,171987.6709328582
-2000000,250000,180584.2989379451
-1995000,-195000,43746.811902219
-1995000,-190000,40594.840825012856
-1995000,-185000,37843.0793092757
-1995000,-180000,35584.493836615555
-1995000,-85000,27106.253077451573
-1995000,-80000,30670.13305968614
-1995000,-75000,34591.403092370405
-1995000,20000,59831.417556633314
-1995000,65000,45066.55956289774
-1995000,70000,45922.82098081747
-1995000,75000,47294.99109669236
-1995000,80000,49139.87056185852
-1995000,85000,51406.590772353404
-1995000,90000,54042.09720982532
-1995000,95000,56995.25389746246
-1995000,100000,60219.346250488394
-1995000,115000,71134.39218012769
-1995000,120000,75086.699533514
-1995000,125000,79157.58424078018
-1995000,130000,83329.66961914711
-1995000,135000,87588.49544795373
-1995000,240000,174656.73348860364
-1995000,245000,178872.69100650641
-1990000,-190000,44718.307231022634
-1990000,-185000,42236.05748182625
-1990000,-90000,20049.479043078696
-1990000,-85000,23619.689157540826
-1990000,-80000,27636.892406688054
-1990000,-75000,31932.8346361367
-1990000,-70000,36408.98287372021
-1990000,-35000,38062.024047806044
-1990000,-30000,39734.14336078942
-1990000,15000,59827.577427439006
-1990000,20000,56189.409294245204
-1990000,25000,52774.619021232254
-1990000,30000,49629.33717909407
-1990000,65000,40105.43580159938
-1990000,70000,41065.27336858004
-1990000,75000,42594.217598592055
-1990000,80000,44633.82202810117
-1990000,95000,53159.290409449684
-1990000,105000,60263.84943592808
-1990000,110000,64106.491440697406
-1990000,115000,68099.58106211967
-1990000,120000,72218.1669445868
-1990000,125000,76441.96709161931
-1990000,130000,80754.47373883512
-1990000,135000,85142.20883226022
-1990000,140000,89594.12045908041
-1990000,245000,181578.234345169
-1990000,250000,185771.6884320889
-1990000,255000,190004.17168554253
-1990000,260000,194273.13322461527
-1985000,-90000,16586.81313269221
-1985000,-85000,20761.27346524896
-1985000,-80000,25237.64216203349
-1985000,-75000,29880.54028793406
-1985000,-70000,34420.59383516768
-1985000,-65000,34937.35826481179
-1985000,-40000,32059.42467693028
-1985000,-35000,33284.999393356855
-1985000,-30000,35184.87826632012
-1985000,0,55393.88506519258
-1985000,5000,59569.849560123665
-1985000,15000,56628.52824183415
-1985000,20000,52770.26536636146
-1985000,25000,49118.342834792464
-1985000,30000,45722.229810412886
-1985000,35000,42643.088476753284
-1985000,70000,36246.48764827027
-1985000,75000,37969.96922353518
-1985000,80000,40244.617762332
-1985000,105000,57089.252393390205
-1985000,110000,61131.77107557256
-1985000,115000,65306.99909532063
-1985000,120000,69591.05421558298
-1985000,125000,73965.0290531695
-1985000,130000,78413.87771840014
-1985000,135000,82925.5504343276
-1985000,255000,192683.16184324233
-1985000,260000,196894.04737804827
-1985000,265000,201141.07220532835
-1985000,270000,203963.74344103568
-1980000,-90000,14080.594088988202
-1980000,-85000,18819.437714736578
-1980000,-80000,23241.548183492043
-1980000,-75000,27837.69442618376
-1980000,-70000,29894.663060884515
-1980000,-65000,29957.126072502568
-1980000,-60000,30276.101542565986
-1980000,-55000,28226.349367492894
-1980000,-50000,26959.43754264481
-1980000,-45000,26587.51110231581
-1980000,-40000,27147.379627060996
-1980000,-35000,28584.34352256085
-1980000,-30000,30775.78867577184
-1980000,-25000,33574.300329504505
-1980000,-20000,36841.798498658645
-1980000,-15000,40464.831528325514
-1980000,-10000,44356.3644206304
-1980000,-5000,48451.744433155
-1980000,5000,57076.61943927449
-1980000,10000,57933.84766124384
-1980000,20000,49620.07755774076
-1980000,25000,45717.20456060506
-1980000,30000,42047.276830208735
-1980000,35000,38676.66201776219
-1980000,40000,35690.263109652304
-1980000,70000,31484.266814334558
