x,y,volcano
-2417907.0,-499575.0,186143.1203652987
-2109514.0,97650.0,18259.88048642675
-2109377.0,97252.0,18041.93642122121
-2109228.0,101894.0,19379.12495620451
-2109127.0,101439.0,19097.045801227698
-2108603.0,100627.0,18294.037549141205
-2108300.0,98890.0,17412.419231875516
-2107381.0,99947.0,16905.51437588896
-2107125.0,99498.0,16503.156559815707
-2106040.0,98954.0,15296.02387276472
-2104486.0,102049.0,15311.308238886319
-2103806.0,103267.0,15476.97356595882
-2103613.0,97749.0,12604.304995127182
-2096516.0,105988.0,13272.403068991975
-2000670.0,130469.0,86888.75688868503
-1998070.0,152449.0,104345.29099138595
-1997892.0,234756.0,168683.88577798745
-1991407.0,13064.0,62209.72576276968
-1990073.0,-70798.0,35716.388088456704
-1989210.0,78371.0,43203.41182244071
-1988929.0,-73868.0,32453.10060516948
-1988179.0,106575.0,60294.34308021117
-1987601.0,113939.0,65851.06145011642
-1987229.0,-37398.0,34770.777459346034
-1984536.0,101505.0,54062.703907261326
-1983266.0,-46307.0,29859.329084561934
-1982179.0,-79069.0,25068.99772901547
-1981420.0,-32001.0,31090.183117520653
-1981008.0,-43201.0,27686.968518510046
-1976625.0,-78046.0,23870.623190666418
-1972426.0,87160.0,35292.38875622062
-1971484.0,32172.0,34776.03488016722
-1971313.0,-59143.0,22497.894962270737
-1970714.0,-105137.0,4222.288917042482
-1970472.0,-101367.0,618.0217900525283
-1970355.0,-101788.0,888.434303243464
-1969708.0,-97183.0,3804.4390766812858
-1969059.0,-103273.0,2478.8299502344566
-1968968.0,-103701.0,2910.598416095792
-1967775.0,-5366.0,42632.82969812075
-1967631.0,101790.0,45531.14622789775
-1966805.0,-104257.0,3666.853287024032
-1966586.0,-101391.0,3431.853199916735
-1966525.0,-104525.0,3475.758230567676
-1966401.0,-101939.0,3461.6255675273374
-1966223.0,-99668.0,3990.4857267228317
-1966202.0,-104443.0,3144.035918395166
-1965863.0,-100465.0,3906.718142041855
-1965729.0,-98625.0,4869.34019602025
-1965626.0,-98307.0,5118.228762470324
-1965597.0,-104417.0,2573.1435102922114
-1965283.0,-100607.0,3429.443030370814
-1964778.0,-99329.0,4318.436034464208
-1964744.0,-98328.0,5256.662338134242
-1964632.0,-98747.0,4823.12949261773
-1963226.0,-56851.0,14995.435795233407
-1962978.0,108422.0,50349.671383382505
-1960523.0,58190.0,10389.513338468083
-1960386.0,57778.0,10323.07898186419
-1958781.0,58688.0,8596.71817194248
-1958737.0,58292.0,8609.281890878357
-1958037.0,58858.0,7838.207197044868
-1957141.0,62522.0,7447.585873328745
-1956317.0,57636.0,6415.978438352625
-1956287.0,57237.0,6527.99861524233
-1955937.0,61790.0,6060.392726400309
-1955614.0,59044.0,5409.8997799410035
-1955031.0,60940.0,4941.6787943173385
-1953036.0,60687.0,2957.302300848775
-1950484.0,2569.0,48166.85059861156
