x,y
-397512.4217,986316.7901
-401185.0491,980352.6699
-404425.2856,977188.7681
-451727.7225,929730.7561
-461507.498,934672.9161
-462408.59,935258.1304
-485663.3291,919847.9269
-499281.7751,913724.0292
-499583.6734,912429.9255
-580106.8299,925037.3476
-591912.3735,953015.8569
-608682.6542,928166.4126
-703112.2863,1131605.035
-727298.357,863590.3538
-728422.4082,866592.931
-733510.669,875560.2173
-749435.9359,846418.8757
-748348.0244,844763.9442
-774528.9423,854047.7733
-772432.6367,853603.9857
-775230.1376,854178.1206
-772650.5349,884518.0121
-786027.9251,892778.7498
-784657.3805,891463.2801
-795391.2253,804813.672
-757630.7855,771574.7899
-915752.5429,763058.2891
-769108.2913,716210.389
-849106.4437,660223.5309
-799119.1477,653400.1811
-799183.1855,631892.9636
-801057.0542,637640.5583
-819918.6312,581405.9383
-811432.4822,579562.369
-800002.0988,566656.507
-819168.5337,559479.3798
-896054.66,499527.7181
-831963.3773,475323.8994
-840235.7659,451629.1455
-893836.3324,445519.8801
-875681.864,394043.806
-899814.9542,353940.5527
-897851.56,342732.4299
-897844.5026,344237.2325
-917699.3777,342282.967
-966701.7665,333138.7576
-1000815.372,286359.3118
-935332.7914,294111.6164
-956182.3131,273369.8671
-954214.9789,278746.0783
-995069.1214,268735.4714
-1016089.352,246759.3675
-1049457.723,243486.4503
-1046898.926,243019.6627
-1076534.932,265955.1657
-1076999.663,263302.0057
-1081282.88,241428.4176
-1106081.283,211761.0706
-1116966.416,302808.0128
-1110335.063,298451.731
-1164997.97,274312.3781
-1172006.395,238815.6205
-1173843.714,236320.7371
-1177479.954,226975.2568
-1188548.255,206268.17
-1249506.638,246329.7865
-1080810.309,130031.793
-1055154.467,112144.8587
-1053780.549,76922.6001
-1048853.829,85688.9109
-1028050.833,53794.3919
-1042555.725,34579.737
-1045490.905,22023.9535
-1059827.165,5641.155
-1025757.52,-13166.1858
-1021964.968,-36861.0011
-1017752.922,-115027.5868
-1013919.988,-120343.5154
-1029260.372,-184306.7387
-1011453.489,-243432.0762
-1022376.59,-244911.7855
-1015928.22,-292590.2206
-1004655.382,-393436.6342
-1010917.507,-463762.2194
-991053.873,-727477.3263
-976763.4319,-784032.4632
-993115.6526,-786102.9029
-981606.0691,-842331.0955
-975492.0911,-910897.6109
-979067.7351,-981190.417
-969108.1428,-1015944.25
-963558.4871,-1029867.769
-921920.4104,-1113358.401
-882288.2789,-1159969.554
-1661119.196,234125.5123
-1794752.28,196467.6012
-1825632.268,79544.4485
-1824957.765,82674.7293
-1829532.62,80184.4239
-1848754.553,64561.2784
-1850182.907,65517.1555
-1868538.584,48613.7761
-1869235.185,48732.0493
-1949559.317,59649.9406
-1950245.119,59708.9304
-2091704.764,93618.3318
-2090021.56,93453.4965
-1919821.136,-38581.7415
-1918141.008,-41748.2231
-1915644.686,-44962.1342
-1953417.351,-45508.4474
-1950960.911,-46756.7251
-1933987.578,-63477.3992
-1949942.704,-66301.3358
-1950181.04,-67873.8523
-1969992.762,-100976.7669
-1963247.74,-103367.2167
-1974814.076,-103090.8106
-2008407.643,-134353.7087
-2027678.59,-165915.755
-2071166.368,-203276.7426
-2070620.786,-204164.4235
-2081367.249,-211728.5658
-2102480.455,-228696.4538
-2309287.671,-348409.1883
-2869881.469,-491215.2011
-93194.4063,1108640.411
-166880.2771,1104865.132
-159703.0133,1078830.093
-168160.6413,1071342.589
-171963.3511,1069684.347
-232689.5635,1049806.197
-250545.262,1013116.367
-315242.0665,1015715.922
-306660.7755,1004261.51
-351739.4701,966429.552
-371502.4561,953119.7026
